i;t;c;q;pf;lf;ln_c;ln_q;ln_pf;ln_lf
4;3;247506;0.1415;121908;0.488932;12.4191901031213;-1.95545556189884;11.7110219408795;-0.71553185848161
4;4;309391;0.169715;127220;0.484181;12.6423611281395;-1.77363471936951;11.7536731502328;-0.725296475231565
4;5;354338;0.173805;209405;0.529925;12.7780065388421;-1.749821297865;12.2520254548794;-0.635019791883336
4;6;373941;0.164272;263148;0.532723;12.8318533099415;-1.80623168842553;12.480471890525;-0.629753689719429
4;7;420915;0.170906;316724;0.549067;12.9501861920424;-1.76664158122643;12.6657860111521;-0.599534804846031
4;8;474017;0.17784;363598;0.55714;13.068998465013;-1.7268710093262;12.8038041407203;-0.58493872413799
4;9;532590;0.192248;389436;0.611377;13.185507176369;-1.64896907377143;12.87245481757;-0.492041488813307
4;10;676771;0.242469;547376;0.645319;13.4250882376564;-1.41688141182774;13.2128912310032;-0.438010510804188
4;11;880438;0.256505;850418;0.611734;13.688174789902;-1.36060712138391;13.6534832722957;-0.491457731476257
4;12;1052020;0.249657;1011170;0.580884;13.8662226835059;-1.38766730317365;13.8266186342131;-0.543204197830012
4;13;1193680;0.273923;951934;0.572047;13.9925515303143;-1.29490823398593;13.7662509836391;-0.558534123145763
4;14;1303390;0.371131;881323;0.59457;14.0804791206092;-0.991200178969283;13.6891794665573;-0.519916823777771
4;15;1436970;0.421411;831374;0.585525;14.1780472880165;-0.864146674488096;13.6308350327594;-0.535246398307673
5;1;91361;0.051028;118222;0.442875;11.4225739705392;-2.97538077730609;11.6803194918465;-0.814467715796501
5;2;95428;0.052646;116223;0.462473;11.4661273154216;-2.94416501669758;11.663266038409;-0.771167102112119
5;3;98187;0.056348;115853;0.519118;11.4946291026871;-2.87620853158408;11.6600774250798;-0.655624061350401
5;4;115967;0.066953;129372;0.529331;11.661060946857;-2.7037643982895;11.7704472543271;-0.636141333913335
5;5;138382;0.070308;243266;0.557797;11.837773255904;-2.65486968863149;12.4019107738358;-0.583760182074993
5;6;156228;0.073961;277930;0.556181;11.9590717576854;-2.60421735173255;12.535124562405;-0.586661498139718
5;7;183169;0.084946;317273;0.569327;12.1181645029301;-2.46573951849428;12.6675178809787;-0.563300317485385
5;8;210212;0.095474;358794;0.583465;12.2558718242827;-2.34890131987147;12.7905036866189;-0.53877081191661
5;9;274024;0.119814;397667;0.631818;12.5209709727752;-2.12181473869283;12.8933702506346;-0.459153900991495
5;10;356915;0.150046;566672;0.604723;12.7852529371745;-1.89681336523183;13.2475359320788;-0.502984777036848
5;11;432344;0.144014;848393;0.587921;12.9769768466469;-1.93784476190969;13.6510992508135;-0.531162693851279
5;12;524294;0.1693;1005740;0.616159;13.1698078746653;-1.77608298984305;13.8212341469339;-0.484250231871932
5;13;530924;0.172761;958231;0.605868;13.1823741638035;-1.75584614252945;13.7728441552351;-0.501093138421611
5;14;581447;0.18667;872924;0.594688;13.2732751031929;-1.67841292693763;13.6796037749038;-0.519718380714303
5;15;610257;0.213279;844622;0.635545;13.3216354588981;-1.5451541112349;13.646644468976;-0.453272380474042
6;1;68978;0.037682;117112;0.448539;11.1415428921592;-3.27857275212633;11.6708860208512;-0.801759644742046
6;2;74904;0.039784;119420;0.475889;11.2239625726187;-3.2242904575697;11.690401970101;-0.742570645221808
6;3;83829;0.044331;116087;0.500562;11.336534288657;-3.11607107239253;11.6620951889791;-0.692023811774999
6;4;98148;0.050245;122997;0.500344;11.494231822523;-2.99084423948121;11.7199152438132;-0.692459417123448
6;5;118449;0.055046;194309;0.528897;11.6822377671705;-2.89958607967048;12.1772049544163;-0.636961573076034
6;6;133161;0.052462;307923;0.495361;11.7993142014235;-2.94766618098495;12.6376050307005;-0.702468489289017
6;7;145062;0.056977;323595;0.510342;11.8849165162207;-2.86510760135109;12.6872480128728;-0.672674189772294
6;8;170711;0.06149;363081;0.518296;12.0477273472453;-2.78888071901676;12.8023812288507;-0.657208771354362
6;9;199775;0.069027;386422;0.546723;12.2049470122427;-2.67325754657663;12.8646853155175;-0.603813003360676
6;10;276797;0.092749;564867;0.554276;12.5310396645166;-2.37785835922387;13.244345584188;-0.590092521346905
6;11;381478;0.11264;874818;0.517766;12.8518084609403;-2.1835583865724;13.6817711437048;-0.658231876238493
6;12;506969;0.154154;1013170;0.580049;13.1362051367197;-1.86980317623542;13.8285945875122;-0.544642696251518
6;13;633388;0.186461;930477;0.556024;13.358838467533;-1.67953317704742;13.7434526368653;-0.586943820195531
6;14;804388;0.246847;851676;0.537791;13.5978370188181;-1.39898656748055;13.6549614517959;-0.620285270133069
6;15;1009500;0.304013;819476;0.525775;13.824965716735;-1.19068481533234;13.6164203905871;-0.642881914412395
