year_month;year;month;m1
out-1974;1974;10;272.30
nov-1974;1974;11;273.70
dez-1974;1974;12;274.20
jan-1975;1975;1;273.90
fev-1975;1975;2;275.00
mar-1975;1975;3;276.40
abr-1975;1975;4;276.20
mai-1975;1975;5;279.20
jun-1975;1975;6;282.40
jul-1975;1975;7;283.70
ago-1975;1975;8;284.10
set-1975;1975;9;285.70
out-1975;1975;10;285.40
nov-1975;1975;11;286.80
dez-1975;1975;12;287.10
jan-1976;1976;1;288.40
fev-1976;1976;2;290.80
mar-1976;1976;3;292.70
abr-1976;1976;4;294.70
mai-1976;1976;5;295.90
jun-1976;1976;6;296.20
jul-1976;1976;7;297.20
ago-1976;1976;8;299.00
set-1976;1976;9;299.60
out-1976;1976;10;302.00
nov-1976;1976;11;303.60
dez-1976;1976;12;306.20
jan-1977;1977;1;308.30
fev-1977;1977;2;311.50
mar-1977;1977;3;313.90
abr-1977;1977;4;316.00
mai-1977;1977;5;317.20
jun-1977;1977;6;318.80
jul-1977;1977;7;320.20
ago-1977;1977;8;322.30
set-1977;1977;9;324.50
out-1977;1977;10;326.40
nov-1977;1977;11;328.60
dez-1977;1977;12;330.90
jan-1978;1978;1;334.40
fev-1978;1978;2;335.30
mar-1978;1978;3;337.00
abr-1978;1978;4;339.90
mai-1978;1978;5;344.90
jun-1978;1978;6;346.90
jul-1978;1978;7;347.60
ago-1978;1978;8;349.60
set-1978;1978;9;352.20
out-1978;1978;10;353.30
nov-1978;1978;11;355.40
dez-1978;1978;12;357.30
jan-1979;1979;1;358.60
fev-1979;1979;2;359.90
mar-1979;1979;3;362.50
abr-1979;1979;4;368.00
mai-1979;1979;5;369.60
jun-1979;1979;6;373.40
jul-1979;1979;7;377.20
ago-1979;1979;8;378.80
set-1979;1979;9;379.30
out-1979;1979;10;380.80
nov-1979;1979;11;380.80
dez-1979;1979;12;381.80
jan-1980;1980;1;385.80
fev-1980;1980;2;390.10
mar-1980;1980;3;388.50
abr-1980;1980;4;383.80
mai-1980;1980;5;384.80
jun-1980;1980;6;389.10
jul-1980;1980;7;394.00
ago-1980;1980;8;399.20
set-1980;1980;9;404.80
out-1980;1980;10;409.00
nov-1980;1980;11;410.70
dez-1980;1980;12;408.50
jan-1981;1981;1;411.30
fev-1981;1981;2;414.80
mar-1981;1981;3;419.00
abr-1981;1981;4;427.40
mai-1981;1981;5;424.70
jun-1981;1981;6;425.20
jul-1981;1981;7;427.00
ago-1981;1981;8;426.90
set-1981;1981;9;426.90
out-1981;1981;10;428.40
nov-1981;1981;11;431.20
dez-1981;1981;12;436.70
jan-1982;1982;1;442.70
fev-1982;1982;2;441.90
mar-1982;1982;3;442.70
abr-1982;1982;4;447.20
mai-1982;1982;5;446.70
jun-1982;1982;6;447.50
jul-1982;1982;7;448.00
ago-1982;1982;8;451.40
set-1982;1982;9;456.90
out-1982;1982;10;464.50
nov-1982;1982;11;471.50
dez-1982;1982;12;474.80
jan-1983;1983;1;477.20
fev-1983;1983;2;484.30
mar-1983;1983;3;490.60
abr-1983;1983;4;493.20
mai-1983;1983;5;500.00
jun-1983;1983;6;504.00
jul-1983;1983;7;507.80
ago-1983;1983;8;510.50
set-1983;1983;9;512.80
out-1983;1983;10;517.20
nov-1983;1983;11;518.90
dez-1983;1983;12;521.40
jan-1984;1984;1;525.10
fev-1984;1984;2;527.50
mar-1984;1984;3;531.40
abr-1984;1984;4;535.00
mai-1984;1984;5;536.70
jun-1984;1984;6;540.20
jul-1984;1984;7;540.90
ago-1984;1984;8;541.00
set-1984;1984;9;543.10
out-1984;1984;10;543.70
nov-1984;1984;11;547.50
dez-1984;1984;12;551.60
jan-1985;1985;1;556.90
fev-1985;1985;2;563.60
mar-1985;1985;3;566.60
abr-1985;1985;4;570.40
mai-1985;1985;5;575.20
jun-1985;1985;6;582.20
jul-1985;1985;7;589.10
ago-1985;1985;8;596.20
set-1985;1985;9;603.30
out-1985;1985;10;607.80
nov-1985;1985;11;612.20
dez-1985;1985;12;619.80
jan-1986;1986;1;621.50
fev-1986;1986;2;625.20
mar-1986;1986;3;633.50
abr-1986;1986;4;640.90
mai-1986;1986;5;652.00
jun-1986;1986;6;660.60
jul-1986;1986;7;670.30
ago-1986;1986;8;678.70
set-1986;1986;9;687.40
out-1986;1986;10;694.90
nov-1986;1986;11;705.40
dez-1986;1986;12;724.70
jan-1987;1987;1;730.20
fev-1987;1987;2;730.70
mar-1987;1987;3;733.80
abr-1987;1987;4;743.90
mai-1987;1987;5;745.90
jun-1987;1987;6;743.20
jul-1987;1987;7;743.10
ago-1987;1987;8;744.90
set-1987;1987;9;747.50
out-1987;1987;10;756.20
nov-1987;1987;11;753.20
dez-1987;1987;12;750.20
jan-1988;1988;1;756.20
fev-1988;1988;2;757.80
mar-1988;1988;3;761.70
abr-1988;1988;4;768.10
mai-1988;1988;5;771.70
jun-1988;1988;6;778.40
jul-1988;1988;7;781.40
ago-1988;1988;8;783.30
set-1988;1988;9;783.70
out-1988;1988;10;783.30
nov-1988;1988;11;784.90
dez-1988;1988;12;786.70
jan-1989;1989;1;785.70
fev-1989;1989;2;783.80
mar-1989;1989;3;783.00
abr-1989;1989;4;779.20
mai-1989;1989;5;775.00
jun-1989;1989;6;773.50
jul-1989;1989;7;777.80
ago-1989;1989;8;779.40
set-1989;1989;9;781.00
out-1989;1989;10;786.60
nov-1989;1989;11;788.00
dez-1989;1989;12;792.90
jan-1990;1990;1;795.40
fev-1990;1990;2;798.00
mar-1990;1990;3;801.60
abr-1990;1990;4;806.20
mai-1990;1990;5;804.20
jun-1990;1990;6;808.90
jul-1990;1990;7;810.00
ago-1990;1990;8;815.70
set-1990;1990;9;820.00
out-1990;1990;10;819.90
nov-1990;1990;11;822.10
dez-1990;1990;12;824.70
jan-1991;1991;1;827.10
fev-1991;1991;2;832.70
mar-1991;1991;3;838.70
abr-1991;1991;4;843.10
mai-1991;1991;5;848.90
jun-1991;1991;6;856.70
jul-1991;1991;7;861.50
ago-1991;1991;8;866.70
set-1991;1991;9;870.20
out-1991;1991;10;878.00
nov-1991;1991;11;887.70
dez-1991;1991;12;896.90
jan-1992;1992;1;910.50
fev-1992;1992;2;925.30
mar-1992;1992;3;936.60
abr-1992;1992;4;943.80
mai-1992;1992;5;950.50
jun-1992;1992;6;954.40
jul-1992;1992;7;963.20
ago-1992;1992;8;973.70
set-1992;1992;9;988.00
out-1992;1992;10;1003.80
nov-1992;1992;11;1015.80
dez-1992;1992;12;1024.80
jan-1993;1993;1;1030.40
fev-1993;1993;2;1033.60
mar-1993;1993;3;1038.60
abr-1993;1993;4;1047.60
mai-1993;1993;5;1065.90
jun-1993;1993;6;1075.10
jul-1993;1993;7;1084.40
ago-1993;1993;8;1094.20
set-1993;1993;9;1104.20
out-1993;1993;10;1112.90
nov-1993;1993;11;1124.20
dez-1993;1993;12;1129.70
jan-1994;1994;1;1131.60
fev-1994;1994;2;1136.40
mar-1994;1994;3;1140.20
abr-1994;1994;4;1141.10
mai-1994;1994;5;1143.30
jun-1994;1994;6;1145.20
jul-1994;1994;7;1150.40
ago-1994;1994;8;1150.70
set-1994;1994;9;1151.90
out-1994;1994;10;1150.10
nov-1994;1994;11;1151.00
dez-1994;1994;12;1150.70
jan-1995;1995;1;1151.50
fev-1995;1995;2;1147.50
mar-1995;1995;3;1146.80
abr-1995;1995;4;1149.20
mai-1995;1995;5;1145.40
jun-1995;1995;6;1144.20
jul-1995;1995;7;1145.30
ago-1995;1995;8;1145.40
set-1995;1995;9;1141.80
out-1995;1995;10;1137.20
nov-1995;1995;11;1134.10
dez-1995;1995;12;1127.40
jan-1996;1996;1;1123.70
fev-1996;1996;2;1118.60
mar-1996;1996;3;1122.50
abr-1996;1996;4;1124.90
mai-1996;1996;5;1116.60
jun-1996;1996;6;1115.10
jul-1996;1996;7;1112.40
ago-1996;1996;8;1101.50
set-1996;1996;9;1096.00
out-1996;1996;10;1085.80
nov-1996;1996;11;1083.30
dez-1996;1996;12;1081.40
jan-1997;1997;1;1081.50
fev-1997;1997;2;1079.00
mar-1997;1997;3;1072.30
abr-1997;1997;4;1063.80
mai-1997;1997;5;1063.90
jun-1997;1997;6;1065.70
jul-1997;1997;7;1065.80
ago-1997;1997;8;1074.50
set-1997;1997;9;1067.30
out-1997;1997;10;1065.70
nov-1997;1997;11;1069.90
dez-1997;1997;12;1072.80
jan-1998;1998;1;1074.30
fev-1998;1998;2;1078.20
mar-1998;1998;3;1077.40
abr-1998;1998;4;1076.30
mai-1998;1998;5;1078.40
jun-1998;1998;6;1076.80
jul-1998;1998;7;1075.10
ago-1998;1998;8;1075.00
set-1998;1998;9;1079.80
out-1998;1998;10;1086.20
nov-1998;1998;11;1094.70
dez-1998;1998;12;1095.90
jan-1999;1999;1;1097.60
fev-1999;1999;2;1097.20
mar-1999;1999;3;1097.20
abr-1999;1999;4;1102.10
mai-1999;1999;5;1102.90
jun-1999;1999;6;1099.60
jul-1999;1999;7;1098.60
ago-1999;1999;8;1099.00
set-1999;1999;9;1096.70
out-1999;1999;10;1102.70
nov-1999;1999;11;1111.50
dez-1999;1999;12;1123.00
jan-2000;2000;1;1121.50
fev-2000;2000;2;1108.80
mar-2000;2000;3;1107.60
abr-2000;2000;4;1113.70
mai-2000;2000;5;1105.90
jun-2000;2000;6;1103.50
jul-2000;2000;7;1103.00
ago-2000;2000;8;1100.40
set-2000;2000;9;1099.70
out-2000;2000;10;1098.80
nov-2000;2000;11;1092.40
dez-2000;2000;12;1087.70
jan-2001;2001;1;1096.80
fev-2001;2001;2;1100.80
mar-2001;2001;3;1108.70
abr-2001;2001;4;1115.30
mai-2001;2001;5;1119.90
jun-2001;2001;6;1126.70
jul-2001;2001;7;1139.60
ago-2001;2001;8;1150.30
set-2001;2001;9;1205.20
out-2001;2001;10;1166.30
nov-2001;2001;11;1171.40
dez-2001;2001;12;1182.00
jan-2002;2002;1;1189.90
fev-2002;2002;2;1189.50
mar-2002;2002;3;1191.30
abr-2002;2002;4;1185.70
mai-2002;2002;5;1190.20
jun-2002;2002;6;1192.70
jul-2002;2002;7;1199.90
ago-2002;2002;8;1186.70
set-2002;2002;9;1195.90
out-2002;2002;10;1204.30
nov-2002;2002;11;1209.10
dez-2002;2002;12;1219.50
jan-2003;2003;1;1226.20
fev-2003;2003;2;1237.00
mar-2003;2003;3;1237.30
abr-2003;2003;4;1248.30
mai-2003;2003;5;1269.70
jun-2003;2003;6;1281.00
jul-2003;2003;7;1288.60
ago-2003;2003;8;1295.20
set-2003;2003;9;1298.10
out-2003;2003;10;1297.90
nov-2003;2003;11;1297.50
dez-2003;2003;12;1305.50
jan-2004;2004;1;1305.30
fev-2004;2004;2;1319.10
mar-2004;2004;3;1328.20
abr-2004;2004;4;1332.20
mai-2004;2004;5;1333.80
jun-2004;2004;6;1343.70
jul-2004;2004;7;1341.90
ago-2004;2004;8;1354.60
set-2004;2004;9;1363.00
out-2004;2004;10;1361.40
nov-2004;2004;11;1374.90
dez-2004;2004;12;1375.20
jan-2005;2005;1;1365.40
fev-2005;2005;2;1368.70
mar-2005;2005;3;1371.40
abr-2005;2005;4;1357.90
mai-2005;2005;5;1367.40
jun-2005;2005;6;1380.80
jul-2005;2005;7;1368.50
ago-2005;2005;8;1378.40
set-2005;2005;9;1379.40
out-2005;2005;10;1374.70
nov-2005;2005;11;1375.70
dez-2005;2005;12;1373.20
jan-2006;2006;1;1378.70
fev-2006;2006;2;1375.00
mar-2006;2006;3;1384.00
abr-2006;2006;4;1380.50
mai-2006;2006;5;1387.80
jun-2006;2006;6;1376.20
jul-2006;2006;7;1372.30
ago-2006;2006;8;1372.20
set-2006;2006;9;1364.10
out-2006;2006;10;1369.30
nov-2006;2006;11;1370.80
dez-2006;2006;12;1365.90
jan-2007;2007;1;1371.80
fev-2007;2007;2;1360.60
mar-2007;2007;3;1369.70
abr-2007;2007;4;1379.30
mai-2007;2007;5;1379.30
jun-2007;2007;6;1366.90
jul-2007;2007;7;1369.80
ago-2007;2007;8;1370.20
set-2007;2007;9;1369.50
out-2007;2007;10;1370.30
nov-2007;2007;11;
dez-2007;2007;12;
