year;month;tb3m;tb6m
1988;10;7.35;7.50
1988;11;7.76;7.86
1988;12;8.07;8.22
1989;1;8.27;8.36
1989;2;8.53;8.55
1989;3;8.82;8.85
1989;4;8.65;8.65
1989;5;8.43;8.41
1989;6;8.15;7.93
1989;7;7.88;7.61
1989;8;7.90;7.74
1989;9;7.75;7.74
1989;10;7.64;7.62
1989;11;7.69;7.49
1989;12;7.63;7.42
1990;1;7.64;7.55
1990;2;7.74;7.70
1990;3;7.90;7.85
1990;4;7.77;7.84
1990;5;7.74;7.76
1990;6;7.73;7.63
1990;7;7.62;7.52
1990;8;7.45;7.38
1990;9;7.36;7.32
1990;10;7.17;7.16
1990;11;7.06;7.03
1990;12;6.74;6.70
1991;1;6.22;6.28
1991;2;5.94;5.93
1991;3;5.91;5.92
1991;4;5.65;5.71
1991;5;5.46;5.61
1991;6;5.57;5.75
1991;7;5.58;5.70
1991;8;5.33;5.39
1991;9;5.22;5.25
1991;10;4.99;5.04
1991;11;4.56;4.61
1991;12;4.07;4.10
1992;1;3.80;3.87
1992;2;3.84;3.93
1992;3;4.04;4.18
1992;4;3.75;3.87
1992;5;3.63;3.75
1992;6;3.66;3.77
1992;7;3.21;3.28
1992;8;3.13;3.21
1992;9;2.91;2.96
1992;10;2.86;3.04
1992;11;3.13;3.34
1992;12;3.22;3.36
1993;1;3.00;3.14
1993;2;2.93;3.07
1993;3;2.95;3.05
1993;4;2.87;2.97
1993;5;2.96;3.07
1993;6;3.07;3.20
1993;7;3.04;3.16
1993;8;3.02;3.14
1993;9;2.95;3.06
1993;10;3.02;3.12
1993;11;3.10;3.26
1993;12;3.06;3.23
1994;1;2.98;3.15
1994;2;3.25;3.43
1994;3;3.50;3.78
1994;4;3.68;4.09
1994;5;4.14;4.60
1994;6;4.14;4.55
1994;7;4.33;4.75
1994;8;4.48;4.88
1994;9;4.62;5.04
1994;10;4.95;5.39
1994;11;5.29;5.72
1994;12;5.60;6.21
1995;1;5.71;6.21
1995;2;5.77;6.03
1995;3;5.73;5.89
1995;4;5.65;5.77
1995;5;5.67;5.67
1995;6;5.47;5.42
1995;7;5.42;5.37
1995;8;5.40;5.41
1995;9;5.28;5.30
1995;10;5.28;5.32
1995;11;5.36;5.27
1995;12;5.14;5.13
1996;1;5.00;4.92
1996;2;4.83;4.77
1996;3;4.96;4.96
1996;4;4.95;5.06
1996;5;5.02;5.12
1996;6;5.09;5.25
1996;7;5.15;5.30
1996;8;5.05;5.13
1996;9;5.09;5.24
1996;10;4.99;5.11
1996;11;5.03;5.07
1996;12;4.91;5.04
1997;1;5.03;5.10
1997;2;5.01;5.06
1997;3;5.14;5.26
1997;4;5.16;5.37
1997;5;5.05;5.30
1997;6;4.93;5.13
1997;7;5.05;5.12
1997;8;5.14;5.19
1997;9;4.95;5.09
1997;10;4.97;5.09
1997;11;5.14;5.17
1997;12;5.16;5.24
1998;1;5.04;5.03
1998;2;5.09;5.07
1998;3;5.03;5.04
1998;4;4.95;5.06
1998;5;5.00;5.14
1998;6;4.98;5.12
1998;7;4.96;5.03
1998;8;4.90;4.95
1998;9;4.61;4.63
1998;10;3.96;4.05
1998;11;4.41;4.42
1998;12;4.39;4.40
1999;1;4.34;4.33
1999;2;4.44;4.44
1999;3;4.44;4.47
1999;4;4.29;4.37
1999;5;4.50;4.56
1999;6;4.57;4.82
1999;7;4.55;4.58
1999;8;4.72;4.87
1999;9;4.68;4.88
1999;10;4.86;4.98
1999;11;5.07;5.20
1999;12;5.20;5.44
2000;1;5.32;5.50
2000;2;5.55;5.72
2000;3;5.69;5.85
2000;4;5.66;5.81
2000;5;5.79;6.10
2000;6;5.69;5.97
2000;7;5.96;6.00
2000;8;6.09;6.07
2000;9;6.00;5.98
2000;10;6.11;6.04
2000;11;6.17;6.06
2000;12;5.77;5.68
2001;1;5.15;4.95
2001;2;4.88;4.71
2001;3;4.42;4.28
2001;4;3.87;3.85
2001;5;3.62;3.62
2001;6;3.49;3.45
2001;7;3.51;3.45
2001;8;3.36;3.29
2001;9;2.64;2.63
2001;10;2.16;2.12
2001;11;1.87;1.88
2001;12;1.69;1.78
2002;1;1.65;1.73
2002;2;1.73;1.82
2002;3;1.79;2.01
2002;4;1.72;1.93
2002;5;1.73;1.86
2002;6;1.70;1.79
2002;7;1.68;1.70
2002;8;1.62;1.60
2002;9;1.63;1.60
2002;10;1.58;1.56
2002;11;1.23;1.27
2002;12;1.19;1.24
2003;1;1.17;1.20
2003;2;1.17;1.18
2003;3;1.13;1.13
2003;4;1.13;1.14
2003;5;1.07;1.08
2003;6;0.92;0.92
2003;7;0.90;0.95
2003;8;0.95;1.03
2003;9;0.94;1.01
2003;10;0.92;1.00
2003;11;0.93;1.02
2003;12;0.90;0.99
2004;1;0.88;0.97
2004;2;0.93;0.99
2004;3;0.94;0.99
2004;4;0.94;1.09
2004;5;1.02;1.31
2004;6;1.27;1.60
2004;7;1.33;1.66
2004;8;1.48;1.72
2004;9;1.65;1.87
2004;10;1.76;2.00
2004;11;2.07;2.27
2004;12;2.19;2.43
2005;1;2.33;2.61
2005;2;2.54;2.77
2005;3;2.74;3.00
2005;4;2.78;3.05
2005;5;2.84;3.08
2005;6;2.97;3.13
2005;7;3.22;3.42
2005;8;3.44;3.66
2005;9;3.42;3.67
2005;10;3.71;3.99
2005;11;3.88;4.15
2005;12;3.89;4.18
2006;1;4.24;4.31
2006;2;4.43;4.52
2006;3;4.51;4.62
2006;4;4.60;4.72
2006;5;4.72;4.82
2006;6;4.79;4.97
2006;7;4.95;5.06
2006;8;4.96;4.97
2006;9;4.81;4.89
2006;10;4.92;4.92
2006;11;4.94;4.95
2006;12;4.85;4.88
2007;1;4.98;4.95
2007;2;5.03;4.96
2007;3;4.94;4.89
2007;4;4.87;4.86
2007;5;4.73;4.78
2007;6;4.61;4.76
2007;7;4.82;4.83
2007;8;4.20;4.38
2007;9;3.89;4.05
2007;10;3.90;4.01
2007;11;3.27;3.46
2007;12;3.00;3.23
