year;quarter;dpi;gdp;pce;cp;dividend
1959;1;1688.6;2392.886;1525.9;29.8;12.1
1959;2;1721;2455.813;1551.7;32.5;12.5
1959;3;1719.5;2453.948;1569.2;29.2;12.8
1959;4;1733.2;2462.587;1571.4;28.6;13
1960;1;1753.2;2517.365;1585.6;31.5;13.2
1960;2;1761.8;2504.8;1605.1;29.2;13.2
1960;3;1762.8;2508.726;1598.5;27.9;13.5
1960;4;1761.2;2476.232;1600.3;26.8;13.5
1961;1;1777.6;2491.154;1600.2;26.2;13.6
1961;2;1804.6;2537.981;1624.2;27.6;13.6
1961;3;1829.2;2579.114;1632.1;29.3;13.9
1961;4;1865.4;2631.831;1664.9;31.6;14.5
1962;1;1883.4;2679.149;1682.7;32.2;14.6
1962;2;1904.1;2708.404;1703.1;32.2;15
1962;3;1914.7;2733.339;1717;33.2;15.2
1962;4;1930.4;2740.014;1741.5;34;15.4
1963;1;1946;2775.944;1753.1;33.6;15.8
1963;2;1964.3;2810.598;1770;35.5;16.1
1963;3;1986.4;2863.512;1794;36.4;16.3
1963;4;2019.6;2885.796;1809.3;37.4;16.8
1964;1;2060.6;2950.49;1845.2;40.6;17.5
1964;2;2116.8;2984.751;1877.9;40.5;18
1964;3;2144.6;3025.492;1912.6;41.6;18.4
1964;4;2169.4;3033.64;1918;41;18.9
1965;1;2193.3;3108.151;1960.3;46.8;19.2
1965;2;2217.4;3150.167;1982;48.5;19.9
1965;3;2278.4;3214.076;2016;49.1;20.5
1965;4;2324.3;3291.826;2072.7;51.9;21.2
1966;1;2345.9;3372.325;2103.2;53.1;21.3
1966;2;2351.7;3384.007;2109;53.3;20.9
1966;3;2381.3;3406.292;2133.1;52.9;20.5
1966;4;2408.6;3433.681;2142;51.9;20
1967;1;2445;3464.114;2154.6;49.6;21.1
1967;2;2464.5;3464.31;2183.4;49.6;21.7
1967;3;2488.1;3491.798;2194.5;50.6;22.1
1967;4;2506.1;3518.205;2207.8;52.9;21.2
1968;1;2549.8;3590.655;2260.3;51.5;22.6
1968;2;2592.3;3651.618;2295.1;52.6;23.4
1968;3;2597.1;3676.455;2338.2;52.8;24
1968;4;2613.7;3691.966;2348.6;54.3;24.2
1969;1;2617.5;3750.18;2375;53.8;24
1969;2;2643.5;3760.881;2390;52.1;24.1
1969;3;2696.6;3784.245;2401;50.4;24.3
1969;4;2716.1;3766.28;2419.8;49.4;24.6
1970;1;2729.4;3759.997;2434.4;46.9;24.5
1970;2;2777.4;3767.066;2445.7;46.6;24.3
1970;3;2814.6;3800.541;2467.1;47.3;24.2
1970;4;2804.4;3759.801;2460.1;44.3;24.2
1971;1;2863.6;3864.057;2507.4;51;25
1971;2;2904.6;3885.851;2530.5;53;25
1971;3;2916.4;3916.676;2550.7;56.5;25.2
1971;4;2946.8;3927.867;2593.2;58.2;24.9
1972;1;2965;3997.666;2627.6;62.1;26.1
1972;2;2991.5;4092.105;2677.3;62.9;26.4
1972;3;3053.6;4131.079;2718.4;65.7;27.1
1972;4;3175;4198.718;2781.7;71.2;27.7
1973;1;3210.5;4305.33;2832;82.2;28.4
1973;2;3240.3;4355.102;2830.5;84.5;29.3
1973;3;3258.3;4331.934;2840.6;84.7;30.4
1973;4;3297.6;4373.263;2832.2;88.1;31.5
1974;1;3246.6;4335.37;2807.8;92.8;32.5
1974;2;3219.9;4347.936;2819;95.3;33.3
1974;3;3231.1;4305.821;2831.6;101.4;33.6
1974;4;3217.3;4288.936;2790.8;90.3;33.5
1975;1;3205.7;4237.593;2814.6;80;32.9
1975;2;3354.6;4268.614;2860.5;85.4;32.7
1975;3;3309.1;4340.867;2901.2;102.3;32.9
1975;4;3342;4397.806;2931.4;107.9;33.4
1976;1;3390.9;4496.761;2989.7;113.2;36.2
1976;2;3417.5;4530.335;3016.3;114.3;38.1
1976;3;3448;4552.03;3047.9;115.1;39.9
1976;4;3473;4584.623;3088;115.1;41.9
1977;1;3479.7;4639.99;3124.6;126.6;42.7
1977;2;3517.4;4731.092;3141.5;135.4;43.9
1977;3;3570.6;4815.812;3171.4;141.1;45.6
1977;4;3642.1;4815.321;3219.1;140.7;46.8
1978;1;3663.5;4830.832;3237.3;144;48.3
1978;2;3706.3;5021.183;3306.4;160.7;49.5
1978;3;3737.6;5070.661;3320.8;165.2;51.8
1978;4;3768.3;5137.416;3347.8;175.1;53.7
1979;1;3811.7;5147.43;3365.3;176.2;55.4
1979;2;3785.2;5152.338;3364;182.5;56.9
1979;3;3807.2;5189.446;3397.3;186.5;58
1979;4;3841.5;5204.662;3407.1;182.3;59.7
1980;1;3869.4;5221.253;3401.7;183.9;61.8
1980;2;3800;5115.917;3325.8;153.8;64.3
1980;3;3839;5107.376;3362;161.8;64.7
1980;4;3920.8;5202.11;3406.8;165.7;65.6
1981;1;3905.7;5307.544;3421.3;169.8;68.7
1981;2;3915;5266.117;3422.1;154.9;72.7
1981;3;4003.1;5329.829;3435.7;158.7;75.9
1981;4;4012.8;5263.368;3409.7;154.3;77.7
1982;1;4013.3;5177.077;3432.2;133;77.7
1982;2;4041.9;5204.859;3444.3;134.1;76.5
1982;3;4059.3;5185.225;3470.8;132.3;77.1
1982;4;4066.2;5189.839;3533.9;128.7;79.5
1983;1;4100.4;5253.845;3568.5;131.1;81
1983;2;4132.7;5372.336;3639.5;150.9;82.1
1983;3;4191.6;5478.36;3704.1;163;84.3
1983;4;4286.5;5590.469;3762.5;167.9;86.4
1984;1;4385.5;5699.83;3794.9;176.6;88.6
1984;2;4467;5797.902;3849.3;177.3;90.9
1984;3;4539.8;5854.251;3879.1;164.9;91.1
1984;4;4583.9;5902.354;3930.2;165.5;92.7
1985;1;4580;5956.937;3996.2;153.5;95.4
1985;2;4673.4;6007.789;4032.6;156.3;97
1985;3;4640.4;6101.737;4109.1;159.5;98.3
1985;4;4688;6148.564;4118.4;162.8;99.5
1986;1;4744.2;6207.368;4152.7;131.6;103.2
1986;2;4793.8;6232.008;4196.7;133.4;106.4
1986;3;4813.6;6291.695;4269.5;135.9;107.5
1986;4;4813.4;6323.404;4296.7;144.3;107.6
1987;1;4854.6;6365.028;4298.6;162.8;108.8
1987;2;4802.3;6435.023;4357.3;186.5;109.8
1987;3;4887.3;6493.434;4406.3;195.4;113.3
1987;4;4954.1;6606.82;4417.1;204;117.2
1988;1;5016.9;6639.118;4490.6;225.3;121.7
1988;2;5061.3;6723.544;4522.7;243.4;126.4
1988;3;5103.3;6759.376;4560.5;248.9;132.8
1988;4;5149.2;6848.612;4614;260.2;138.7
1989;1;5216.3;6918.116;4631.2;251.4;148
1989;2;5199.1;6963.471;4653;238;155.7
1989;3;5224.9;7013.144;4697.3;225.8;161.1
1989;4;5259.9;7030.913;4718.8;235.6;167.1
1990;1;5307.9;7112.1;4757.1;253.8;170.1
1990;2;5338.7;7130.261;4773;265.2;169.9
1990;3;5343.6;7130.752;4792.6;267.4;170
1990;4;5306.6;7076.857;4758.3;269.9;166.3
1991;1;5310.5;7040.828;4738.1;283.8;175.5
1991;2;5347.1;7086.477;4779.4;280;180.5
1991;3;5359.6;7120.738;4800.1;283.3;183.3
1991;4;5389.4;7154.116;4795.9;290.5;183.4
1992;1;5473.9;7228.234;4875;317.4;181.2
1992;2;5514.6;7297.935;4903;325.7;182.2
1992;3;5537.4;7369.5;4951.8;285.6;189.2
1992;4;5619.2;7450.687;5009.4;320.8;199
1993;1;5512.1;7459.718;5027.3;328.8;193.2
1993;2;5590.2;7497.514;5071.9;342.9;198.2
1993;3;5597.4;7535.996;5127.3;343.5;205.7
1993;4;5677.2;7637.406;5172.9;369;214.1
1994;1;5629.9;7715.058;5230.3;346.2;219.2
1994;2;5733.1;7815.682;5268;376.9;229.4
1994;3;5770.8;7859.465;5305.7;397.5;240.6
1994;4;5850.9;7951.647;5358.7;412.6;249.7
1995;1;5886.4;7973.735;5367.2;437.7;248.7
1995;2;5881.7;7987.97;5411.7;455.4;251.1
1995;3;5912.1;8053.056;5458.8;462.8;252
1995;4;5943.3;8111.958;5496.1;466.5;264.9
1996;1;6010;8169.191;5544.6;492.8;286.1
1996;2;6059.8;8303.094;5604.9;499.9;290.6
1996;3;6111.3;8372.697;5640.7;498.9;302.6
1996;4;6142.5;8470.572;5687.6;513.8;311
1997;1;6201.3;8536.051;5749.1;529.4;320.5
1997;2;6251.9;8665.831;5775.8;548.2;330.6
1997;3;6323.3;8773.72;5870.7;570.4;339.7
1997;4;6406.6;8838.414;5931.4;560.4;347.1
1998;1;6543.4;8936.191;5996.8;478.9;350.1
1998;2;6638.6;8995.289;6092.1;471;352.3
1998;3;6710.9;9098.858;6165.7;469.2;351.9
1998;4;6763;9237.081;6248.8;460.8;352.2
1999;1;6812.9;9315.518;6311.3;499.3;339.9
1999;2;6822.1;9392.581;6409.7;510;333.4
1999;3;6856;9502.237;6476.7;515.1;334.2
1999;4;6955.6;9671.089;6556.8;544.5;342
2000;1;7109.7;9695.631;6661.3;514.6;360.3
2000;2;7157.5;9847.892;6703.3;512.2;377.3
2000;3;7249.3;9836.603;6768;502.3;386.6
2000;4;7259.6;9887.749;6825;503.7;387.6
2001;1;7283;9875.576;6853.1;532.1;379.2
2001;2;7252.1;9905.911;6870.3;537.1;370.1
2001;3;7452.2;9871.06;6900.5;473.6;366
2001;4;7346;9910.034;7017.6;472.4;368.4
2002;1;7549.9;9977.28;7042.2;518.9;382.5
2002;2;7585.2;10031.568;7083.5;553.6;396.1
2002;3;7555.5;10090.666;7123.2;589.5;406.1
2002;4;7559.3;10095.771;7148.2;641.3;412
2003;1;7591.7;10126.007;7184.9;625.3;411.7
2003;2;7685.7;10212.691;7249.3;622.2;417.4
2003;3;7804.8;10398.723;7352.9;672.7;427.1
2003;4;7837.3;10466.951;7394.3;738.9;442.8
2004;1;7908.7;10543.621;7475.1;845.8;473.9
2004;2;7955.1;10634.232;7520.5;892.5;500.7
2004;3;8012.2;10728.671;7585.5;896.7;528.5
2004;4;8158.8;10796.408;7664.3;954.2;654.8
2005;1;8089.8;10878.38;7709.4;1169.4;566
2005;2;8140.9;10954.069;7775.2;1184.9;588.1
2005;3;8115.4;11074.326;7852.8;1155.2;612.6
2005;4;8246;11107.213;7876.9;1237.3;638.7
2006;1;8344.2;11238.662;7961.9;1307.3;662.5
2006;2;8348.6;11306.694;8009.3;1382.4;685.6
2006;3;8384.5;11336.734;8063.8;1381;711.1
2006;4;8510.7;11395.538;8141.2;1336.8;736.4
2007;1;8623.9;11412.619;8215.7;1363.3;759.4
2007;2;8607.1;11520.115;8244.3;1441.4;784.2
2007;3;8692.1;11658.927;8302.2;1410.2;807.7
2007;4;8695.2;11675.714;8349.1;1425.5;829.4
