wfood;wfuel;wcloth;wacl;wtrans;wother;totexp;income;age;nk;food;fuel;cloth;alc;trans;other
0.3834;0.0557;0.1423;0.2379;0.0046;0.176;80;170;25;2;30.672;4.456;11.384;19.032;0.368;14.08
0.4053;0.0996;0.0213;0.0464;0.2569;0.1705;110;160;32;2;44.583;10.956;2.343;5.104;28.259;18.755
0.2957;0.0636;0.0363;0.0102;0.385;0.2092;90;70;30;2;26.613;5.724;3.267;0.918;34.65;18.828
0.2762;0.0779;0.1034;0.1348;0.1667;0.241;130;250;32;1;35.906;10.127;13.442;17.524;21.671;31.33
0.2976;0.08;0.0755;0.0414;0.2213;0.2842;90;120;32;2;26.784;7.2;6.795;3.726;19.917;25.578
0.4156;0.0691;0;0.0154;0.2691;0.2308;90;110;25;2;37.404;6.219;0;1.386;24.219;20.772
0.3124;0.0574;0.1856;0.1422;0.0807;0.2217;90;90;29;1;28.116;5.166;16.704;12.798;7.263;19.953
0.431;0.2278;0.0049;0.1296;0.0271;0.1797;70;40;24;2;30.17;15.946;0.343;9.072;1.897;12.579
0.3437;0.0684;0.2395;0.0664;0.1597;0.1223;130;180;57;1;44.681;8.892;31.135;8.632;20.761;15.899
0.4042;0.0545;0.2728;0.0741;0.028;0.1665;90;100;34;2;36.378;4.905;24.552;6.669;2.52;14.985
0.4542;0.1594;0.0613;0.0578;0.0222;0.245;60;100;27;1;27.252;9.564;3.678;3.468;1.332;14.7
0.3216;0.0812;0.0863;0.0807;0.1601;0.2701;70;90;33;2;22.512;5.684;6.041;5.649;11.207;18.907
0.5014;0.1507;0.1169;0;0.1151;0.116;50;110;30;2;25.07;7.535;5.845;0;5.755;5.8
0.2488;0.0487;0.3933;0.153;0.0476;0.1085;110;160;50;1;27.368;5.357;43.263;16.83;5.236;11.935
0.4533;0.1632;0.0453;0;0.0503;0.2879;70;120;42;1;31.731;11.424;3.171;0;3.521;20.153
0.2205;0.0339;0.2002;0.0287;0.0508;0.4659;160;320;35;1;35.28;5.424;32.032;4.592;8.128;74.544
0.2249;0.0955;0.1613;0.1783;0.206;0.1342;70;120;30;2;15.743;6.685;11.291;12.481;14.42;9.394
0.3389;0.146;0.0616;0.1115;0.1062;0.2357;90;100;27;1;30.501;13.14;5.544;10.035;9.558;21.213
0.4056;0.1756;0.083;0.207;0.04;0.0888;50;60;21;1;20.28;8.78;4.15;10.35;2;4.44
0.398;0.026;0.0623;0.0943;0.0111;0.4084;60;100;19;1;23.88;1.56;3.738;5.658;0.666;24.504
0.601;0.0702;0.0054;0;0.0521;0.2713;40;60;37;1;24.04;2.808;0.216;0;2.084;10.852
0.3364;0.0587;0.1744;0.0635;0.0821;0.285;70;100;31;2;23.548;4.109;12.208;4.445;5.747;19.95
0.3838;0.2053;0.1345;0;0.0165;0.2598;50;80;31;1;19.19;10.265;6.725;0;0.825;12.99
0.3929;0.1633;0.0493;0.0582;0.1531;0.1832;70;140;28;1;27.503;11.431;3.451;4.074;10.717;12.824
0.4722;0.0549;0.0579;0.0483;0.1561;0.2106;70;170;21;1;33.054;3.843;4.053;3.381;10.927;14.742
0.3017;0.1462;0.0545;0.0988;0.019;0.3799;80;160;41;1;24.136;11.696;4.36;7.904;1.52;30.392
0.378;0.0671;0.2106;0.1356;0.0224;0.1863;80;100;28;2;30.24;5.368;16.848;10.848;1.792;14.904
0.3477;0.1874;0.1114;0.1163;0.0973;0.14;70;100;32;2;24.339;13.118;7.798;8.141;6.811;9.8
0.3629;0.1274;0.1848;0.0999;0.0364;0.1886;80;90;24;2;29.032;10.192;14.784;7.992;2.912;15.088
0.4101;0.0921;0.194;0.0221;0.1984;0.0833;100;100;39;2;41.01;9.21;19.4;2.21;19.84;8.33
0.3658;0.0879;0.0842;0.0665;0.157;0.2386;80;100;49;1;29.264;7.032;6.736;5.32;12.56;19.088
0.3106;0.0993;0.1344;0.1294;0.066;0.2604;110;110;42;2;34.166;10.923;14.784;14.234;7.26;28.644
0.4269;0.0737;0.1353;0.1055;0.1154;0.1431;150;180;42;2;64.035;11.055;20.295;15.825;17.31;21.465
0.5405;0.1061;0.1261;0.0298;0.0841;0.1134;90;120;25;2;48.645;9.549;11.349;2.682;7.569;10.206
0.3847;0.0398;0.0825;0.166;0.0162;0.3108;70;130;29;2;26.929;2.786;5.775;11.62;1.134;21.756
0.391;0.0315;0.1731;0.0709;0.1433;0.1902;100;130;45;2;39.1;3.15;17.31;7.09;14.33;19.02
0.3065;0.0532;0.114;0;0.4263;0.1001;150;140;53;2;45.975;7.98;17.1;0;63.945;15.015
0.4999;0.1236;0.0985;0;0.0943;0.1837;70;130;36;1;34.993;8.652;6.895;0;6.601;12.859
0.3992;0.0325;0.0447;0.2527;0.012;0.2588;60;90;52;1;23.952;1.95;2.682;15.162;0.72;15.528
0.2944;0.0945;0.0167;0.0755;0.1769;0.3421;100;170;31;2;29.44;9.45;1.67;7.55;17.69;34.21
0.4522;0.0981;0.144;0;0.0418;0.2638;70;80;53;2;31.654;6.867;10.08;0;2.926;18.466
0.2772;0.1126;0.2382;0.0639;0.0237;0.2843;50;160;27;1;13.86;5.63;11.91;3.195;1.185;14.215
0.3962;0.1057;0.0126;0.2099;0.0424;0.2332;70;170;33;2;27.734;7.399;0.882;14.693;2.968;16.324
0.261;0.1012;0.1297;0.0923;0.0906;0.3252;130;130;49;1;33.93;13.156;16.861;11.999;11.778;42.276
0.2807;0.0614;0.3082;0.0148;0.1399;0.195;90;190;33;2;25.263;5.526;27.738;1.332;12.591;17.55
0.4399;0.1655;0;0.0868;0.1068;0.2011;70;240;38;1;30.793;11.585;0;6.076;7.476;14.077
0.1945;0.0893;0.0452;0.1071;0.1136;0.4504;100;200;41;1;19.45;8.93;4.52;10.71;11.36;45.04
0.5701;0.1619;0.0004;0.0023;0.1338;0.1315;60;130;34;2;34.206;9.714;0.024;0.138;8.028;7.89
0.4398;0.074;0.0134;0;0.1349;0.3379;80;140;36;2;35.184;5.92;1.072;0;10.792;27.032
0.359;0.0369;0.1747;0.0771;0.1848;0.1674;230;230;47;1;82.57;8.487;40.181;17.733;42.504;38.502
0.3636;0.0437;0.0319;0.1559;0.1618;0.2431;90;130;25;2;32.724;3.933;2.871;14.031;14.562;21.879
0.5982;0.1397;0.1465;0.0365;0.0235;0.0556;60;120;35;2;35.892;8.382;8.79;2.19;1.41;3.336
0.1851;0.0695;0.0317;0.0678;0.1135;0.5324;90;110;41;1;16.659;6.255;2.853;6.102;10.215;47.916
0.323;0.0847;0.011;0.1004;0.2948;0.1861;80;140;26;1;25.84;6.776;0.88;8.032;23.584;14.888
0.5488;0.1076;0;0;0.0885;0.2551;60;80;32;2;32.928;6.456;0;0;5.31;15.306
0.328;0.1249;0.0981;0.1659;0.0565;0.2265;70;150;38;2;22.96;8.743;6.867;11.613;3.955;15.855
0.2709;0.0845;0.0872;0.2678;0.0726;0.2169;70;120;34;1;18.963;5.915;6.104;18.746;5.082;15.183
0.2599;0.0995;0.131;0;0.1395;0.3701;130;260;48;2;33.787;12.935;17.03;0;18.135;48.113
0.3497;0.0754;0.1583;0.0541;0.1518;0.2106;60;80;24;1;20.982;4.524;9.498;3.246;9.108;12.636
0.3484;0.0965;0.0371;0.1964;0.0173;0.3043;110;280;32;2;38.324;10.615;4.081;21.604;1.903;33.473
0.3238;0.0873;0.1875;0.059;0.0994;0.243;120;120;36;2;38.856;10.476;22.5;7.08;11.928;29.16
0.4954;0.1153;0.0645;0.1871;0.0431;0.0947;120;100;40;2;59.448;13.836;7.74;22.452;5.172;11.364
0.4322;0.1055;0.1037;0.0757;0.1934;0.0895;80;120;31;2;34.576;8.44;8.296;6.056;15.472;7.16
0.2263;0.0817;0.0639;0.1365;0.3032;0.1884;150;160;33;2;33.945;12.255;9.585;20.475;45.48;28.26
0.3794;0.1053;0.1647;0.0809;0.0996;0.1702;130;170;33;1;49.322;13.689;21.411;10.517;12.948;22.126
0.4905;0.1009;0.0952;0.0076;0.0457;0.2602;70;100;40;2;34.335;7.063;6.664;0.532;3.199;18.214
0.4193;0.077;0.1739;0.0269;0.1293;0.1736;90;160;37;2;37.737;6.93;15.651;2.421;11.637;15.624
0.3539;0.1611;0.0714;0.0013;0.162;0.2503;100;150;48;2;35.39;16.11;7.14;0.13;16.2;25.03
0.2525;0.0876;0.0717;0.0951;0.1921;0.3009;80;120;41;1;20.2;7.008;5.736;7.608;15.368;24.072
0.3542;0.026;0.2046;0.0106;0.0219;0.3827;100;80;55;2;35.42;2.6;20.46;1.06;2.19;38.27
0.4954;0.0395;0.0499;0.0472;0.1516;0.2164;170;290;31;2;84.218;6.715;8.483;8.024;25.772;36.788
0.2534;0.1677;0.026;0.1609;0.056;0.3359;100;230;37;2;25.34;16.77;2.6;16.09;5.6;33.59
0.4168;0.1281;0.097;0.012;0.0061;0.34;80;110;37;2;33.344;10.248;7.76;0.96;0.488;27.2
0.2711;0.0531;0.0599;0.244;0.1121;0.2598;80;90;24;1;21.688;4.248;4.792;19.52;8.968;20.784
0.3652;0.1704;0.0806;0;0.1362;0.2476;80;130;34;2;29.216;13.632;6.448;0;10.896;19.808
0.2524;0.3335;0.0861;0.0097;0.1072;0.2112;180;280;40;2;45.432;60.03;15.498;1.746;19.296;38.016
0.3118;0.0469;0.1077;0.0068;0.3952;0.1315;220;220;33;1;68.596;10.318;23.694;1.496;86.944;28.93
0.5008;0.0804;0.1823;0.0896;0.0545;0.0925;80;120;47;2;40.064;6.432;14.584;7.168;4.36;7.4
0.3932;0.1361;0.1086;0.0973;0.0628;0.2019;110;190;43;2;43.252;14.971;11.946;10.703;6.908;22.209
0.4222;0.1058;0.0883;0;0.1992;0.1845;90;140;26;2;37.998;9.522;7.947;0;17.928;16.605
0.2935;0.0498;0.051;0.0261;0.3964;0.1832;110;120;36;2;32.285;5.478;5.61;2.871;43.604;20.152
0.2829;0.0586;0.1519;0.1148;0.1058;0.2859;120;120;35;2;33.948;7.032;18.228;13.776;12.696;34.308
0.3064;0.2128;0.0398;0.1372;0.1754;0.1283;170;170;35;1;52.088;36.176;6.766;23.324;29.818;21.811
0.3179;0.1526;0.1463;0;0.0218;0.3613;60;80;37;2;19.074;9.156;8.778;0;1.308;21.678
0.3115;0.3907;0;0.0315;0;0.2663;50;220;34;1;15.575;19.535;0;1.575;0;13.315
0.349;0.134;0.0155;0.0544;0.2982;0.1489;60;110;26;1;20.94;8.04;0.93;3.264;17.892;8.934
0.2732;0.123;0.078;0.0261;0.351;0.1487;130;150;34;2;35.516;15.99;10.14;3.393;45.63;19.331
0.2379;0.1176;0.1368;0.0753;0.1529;0.2795;90;130;30;2;21.411;10.584;12.312;6.777;13.761;25.155
0.2649;0.0982;0.2587;0.0318;0.0656;0.2808;140;100;37;2;37.086;13.748;36.218;4.452;9.184;39.312
0.4293;0.092;0.003;0.1244;0.1577;0.1935;70;120;28;2;30.051;6.44;0.21;8.708;11.039;13.545
0.6198;0.0679;0.1253;0;0;0.187;90;80;31;2;55.782;6.111;11.277;0;0;16.83
0.2304;0.0315;0.3148;0.1431;0.1051;0.1751;190;160;52;1;43.776;5.985;59.812;27.189;19.969;33.269
0.3047;0.0666;0.0033;0.0528;0.1569;0.4157;50;110;33;2;15.235;3.33;0.165;2.64;7.845;20.785
0.3369;0.0847;0.0252;0;0.0103;0.5429;80;120;36;2;26.952;6.776;2.016;0;0.824;43.432
0.4712;0.1725;0.0509;0.0661;0.0801;0.1591;70;130;33;2;32.984;12.075;3.563;4.627;5.607;11.137
0.3133;0.1498;0.0621;0.1012;0.14;0.2336;90;120;33;2;28.197;13.482;5.589;9.108;12.6;21.024
0.4675;0.0961;0.0109;0.0878;0.0158;0.3218;80;110;40;2;37.4;7.688;0.872;7.024;1.264;25.744
0.4443;0.0907;0.0205;0.131;0.0736;0.2399;80;140;30;1;35.544;7.256;1.64;10.48;5.888;19.192
0.2289;0.1062;0.0932;0.1035;0.2401;0.2281;80;140;33;2;18.312;8.496;7.456;8.28;19.208;18.248
0.5017;0.0843;0.0738;0.1323;0.1256;0.0823;70;110;25;2;35.119;5.901;5.166;9.261;8.792;5.761
0.2027;0.0526;0.1237;0.0259;0.1495;0.4455;190;200;41;1;38.513;9.994;23.503;4.921;28.405;84.645
0.3768;0.1477;0;0.0062;0.1526;0.3167;50;120;33;1;18.84;7.385;0;0.31;7.63;15.835
0.3379;0.0611;0.0245;0.0336;0.1568;0.386;60;100;28;1;20.274;3.666;1.47;2.016;9.408;23.16
0.3324;0.0479;0.0136;0.1424;0.1215;0.3422;110;160;35;2;36.564;5.269;1.496;15.664;13.365;37.642
0.1835;0.0849;0.0517;0.0297;0.0785;0.5717;150;140;35;2;27.525;12.735;7.755;4.455;11.775;85.755
0.2276;0.0868;0.0173;0.0806;0.4713;0.1163;90;110;26;1;20.484;7.812;1.557;7.254;42.417;10.467
0.2553;0.1555;0.2086;0.0928;0.0692;0.2186;100;220;37;2;25.53;15.55;20.86;9.28;6.92;21.86
0.4138;0.1335;0.0991;0.0302;0.0126;0.3107;60;80;31;2;24.828;8.01;5.946;1.812;0.756;18.642
0.328;0.0726;0.0264;0.0316;0.0765;0.4648;110;120;37;2;36.08;7.986;2.904;3.476;8.415;51.128
0.2864;0.1532;0.1863;0.0425;0.1564;0.1752;80;120;37;2;22.912;12.256;14.904;3.4;12.512;14.016
0.3427;0.0732;0.0129;0.2666;0.0003;0.3043;140;120;41;2;47.978;10.248;1.806;37.324;0.042;42.602
0.2955;0.0898;0.0247;0.1761;0.1408;0.2729;100;100;30;1;29.55;8.98;2.47;17.61;14.08;27.29
0.338;0.0772;0.0751;0.159;0.0848;0.2659;120;130;34;2;40.56;9.264;9.012;19.08;10.176;31.908
0.4854;0.1069;0.1545;0.047;0.0147;0.1915;70;80;30;2;33.978;7.483;10.815;3.29;1.029;13.405
0.1651;0.0658;0.0447;0.0367;0.6134;0.0744;120;120;33;1;19.812;7.896;5.364;4.404;73.608;8.928
0.4313;0.1545;0.057;0;0.0579;0.2993;50;90;28;1;21.565;7.725;2.85;0;2.895;14.965
0.5303;0.1495;0.0233;0.0241;0.0402;0.2326;60;280;33;2;31.818;8.97;1.398;1.446;2.412;13.956
0.3351;0.0649;0.2344;0.0113;0.1192;0.2351;90;120;30;2;30.159;5.841;21.096;1.017;10.728;21.159
0.4342;0.1;0.2543;0.0072;0.0646;0.1397;100;180;48;2;43.42;10;25.43;0.72;6.46;13.97
0.4325;0.1712;0.0054;0.0615;0;0.3293;60;190;29;1;25.95;10.272;0.324;3.69;0;19.758
0.1622;0.0909;0.259;0.0157;0.3182;0.154;110;120;32;2;17.842;9.999;28.49;1.727;35.002;16.94
0.3918;0.0872;0.0888;0.0416;0.2383;0.1523;70;110;27;1;27.426;6.104;6.216;2.912;16.681;10.661
0.2994;0.2069;0.0076;0.0405;0.1488;0.2969;60;150;24;1;17.964;12.414;0.456;2.43;8.928;17.814
0.3198;0.0459;0;0.1318;0.1477;0.3547;120;140;30;1;38.376;5.508;0;15.816;17.724;42.564
0.2924;0.0871;0.1498;0.0343;0.2473;0.1891;160;160;41;2;46.784;13.936;23.968;5.488;39.568;30.256
