age;adeeduc;educ;income;pcigs79;smoker;educ*income
28;504;18;20000;62.1;0;360000
41;410;10;20000;62.1;0;200000
62;992;16;20000;62.1;0;320000
53;530;10;30000;62.1;1;300000
26;390;15;20000;62.1;0;300000
53;848;16;20000;62.1;0;320000
35;210;6;12500;62.1;0;75000
68;816;12;2500;62.1;1;30000
38;684;18;30000;62.1;0;540000
50;900;18;30000;62.1;0;540000
32;320;10;20000;62.1;1;200000
26;312;12;12500;62.1;1;150000
18;216;12;30000;62.1;0;360000
18;180;10;20000;62.1;0;200000
45;720;16;30000;62.1;0;480000
64;1024;16;12500;62.1;0;200000
31;418.5;13.5;20000;62.1;1;270000
42;504;12;30000;62.1;1;360000
31;418.5;13.5;12500;62.1;1;168750
65;780;12;12500;62.1;0;150000
53;795;15;30000;62.1;0;450000
25;337.5;13.5;30000;62.1;1;405000
64;1152;18;30000;62.1;0;540000
51;612;12;20000;62.1;0;240000
27;364.5;13.5;20000;62.1;1;270000
25;300;12;6500;62.1;1;78000
31;418.5;13.5;20000;62.1;0;270000
37;666;18;30000;62.1;0;540000
57;684;12;12500;62.1;0;150000
41;492;12;20000;62.1;1;240000
32;384;12;30000;62.1;1;360000
36;576;16;30000;62.1;0;480000
60;810;13.5;30000;62.1;0;405000
26;260;10;6500;62.1;1;65000
35;210;6;12500;62.1;1;75000
30;75;2.5;12500;62.1;0;31250
48;648;13.5;20000;62.1;1;270000
44;352;8;20000;62.1;0;160000
71;568;8;12500;62.1;0;100000
74;444;6;4500;62.1;0;27000
45;810;18;30000;62.1;0;540000
26;312;12;30000;62.1;0;360000
17;170;10;30000;62.1;0;300000
47;752;16;30000;62.1;0;480000
26;260;10;30000;62.1;1;300000
68;918;13.5;12500;62.1;0;168750
57;0;0;20000;62.1;1;0
28;0;0;5500;62.1;1;0
45;607.5;13.5;30000;62.1;0;405000
76;912;12;6500;62.1;1;78000
24;324;13.5;6500;62.1;0;87750
61;823.5;13.5;1500;62.1;0;20250
45;810;18;30000;62.1;0;540000
73;876;12;12500;62.1;0;150000
64;640;10;2500;62.1;0;25000
70;175;2.5;6500;62.1;0;16250
36;486;13.5;8500;62.1;1;114750
61;915;15;12500;62.1;0;187500
37;499.5;13.5;30000;62.1;0;405000
63;756;12;20000;62.1;0;240000
23;230;10;20000;62.1;0;200000
44;660;15;20000;62.1;1;300000
27;405;15;12500;62.1;0;187500
64;960;15;30000;62.1;0;450000
64;960;15;20000;62.1;0;300000
53;424;8;12500;62.1;1;100000
38;608;16;30000;62.1;0;480000
21;252;12;30000;62.1;1;360000
21;252;12;12500;62.1;0;150000
77;924;12;1500;62.1;1;18000
43;516;12;30000;62.1;0;360000
69;828;12;8500;62.1;0;102000
31;558;18;20000;62.1;0;360000
23;276;12;12500;62.1;1;150000
66;660;10;20000;62.1;1;200000
41;553.5;13.5;30000;62.1;0;405000
47;470;10;12500;62.1;1;125000
31;372;12;8500;62.1;0;102000
27;486;18;30000;62.1;0;540000
27;432;16;30000;62.1;0;480000
35;560;16;30000;62.1;1;480000
55;550;10;30000;62.1;0;300000
50;675;13.5;30000;62.1;0;405000
21;252;12;30000;62.1;0;360000
33;330;10;30000;62.1;1;300000
41;492;12;30000;62.1;1;360000
52;624;12;30000;62.1;0;360000
25;375;15;20000;62.1;0;300000
64;384;6;8500;62.1;0;51000
52;702;13.5;30000;62.1;0;405000
23;310.5;13.5;30000;62.1;0;405000
35;420;12;30000;62.1;1;360000
77;1386;18;12500;62.1;0;225000
44;660;15;30000;62.1;1;450000
40;640;16;30000;62.1;0;480000
21;210;10;30000;62.1;1;300000
27;405;15;30000;62.1;0;450000
49;661.5;13.5;30000;62.1;1;405000
62;620;10;12500;62.1;1;125000
22;330;15;8500;62.1;1;127500
22;330;15;20000;62.1;0;300000
29;464;16;30000;62.1;0;480000
29;391.5;13.5;20000;62.1;1;270000
49;392;8;20000;62.1;1;160000
26;416;16;6500;62.1;0;104000
27;364.5;13.5;4500;62.1;0;60750
60;1080;18;30000;62.1;0;540000
65;650;10;3500;62.1;0;35000
30;360;12;20000;62.1;0;240000
72;972;13.5;12500;54.6;0;168750
51;816;16;30000;54.6;0;480000
28;336;12;20000;54.6;1;240000
49;784;16;30000;54.6;1;480000
30;450;15;8500;54.6;0;127500
57;684;12;20000;54.6;1;240000
20;270;13.5;1500;54.6;0;20250
34;459;13.5;12500;54.6;1;168750
57;570;10;20000;54.6;0;200000
46;828;18;30000;54.6;0;540000
23;310.5;13.5;20000;54.6;1;270000
41;410;10;30000;54.6;0;300000
42;420;10;20000;54.6;0;200000
35;472.5;13.5;12500;54.6;1;168750
45;540;12;20000;54.6;0;240000
20;270;13.5;4500;54.6;0;60750
34;612;18;20000;54.6;0;360000
52;624;12;12500;54.6;1;150000
64;864;13.5;8500;54.6;0;114750
19;228;12;30000;54.6;0;360000
27;364.5;13.5;6500;54.6;1;87750
26;416;16;30000;54.6;0;480000
49;882;18;30000;54.6;1;540000
46;736;16;30000;67;0;480000
18;216;12;30000;67;0;360000
53;636;12;30000;67;0;360000
34;408;12;20000;67;1;240000
71;852;12;30000;67;0;360000
53;530;10;20000;67;1;200000
49;588;12;30000;67;1;360000
28;280;10;12500;67;0;125000
42;756;18;30000;67;0;540000
45;720;16;30000;67;0;480000
43;258;6;8500;67;0;51000
18;180;10;5500;67;0;55000
51;816;16;30000;67;1;480000
23;368;16;20000;67;0;320000
37;666;18;30000;67;0;540000
53;954;18;30000;67;0;540000
58;928;16;20000;67;1;320000
17;136;8;30000;67;1;240000
33;396;12;6500;67;1;78000
33;594;18;30000;67;0;540000
22;264;12;12500;62.7;1;150000
39;468;12;20000;62.7;1;240000
49;392;8;12500;65.6;1;100000
23;310.5;13.5;30000;65.6;1;405000
54;648;12;8500;65.6;1;102000
62;620;10;20000;69.8;1;200000
36;486;13.5;30000;69.8;0;405000
57;684;12;20000;69.8;0;240000
17;42.5;2.5;8500;69.8;0;21250
35;560;16;20000;69.8;1;320000
30;450;15;20000;69.8;0;300000
42;504;12;12500;69.8;0;150000
50;500;10;30000;69.8;0;300000
66;792;12;6500;69.8;1;78000
67;670;10;8500;69.8;1;85000
82;820;10;20000;69.8;0;200000
72;864;12;20000;69.8;0;240000
29;464;16;20000;69.8;0;320000
46;460;10;20000;69.8;1;200000
43;516;12;12500;69.8;0;150000
64;384;6;5500;69.8;0;33000
66;660;10;12500;69.8;1;125000
22;264;12;30000;69.8;1;360000
57;684;12;8500;69.8;0;102000
23;310.5;13.5;20000;69.8;1;270000
17;170;10;12500;69.8;0;125000
47;117.5;2.5;12500;69.8;1;31250
22;264;12;4500;69.8;0;54000
75;600;8;6500;69.8;0;52000
71;568;8;5500;69.8;0;44000
31;558;18;30000;69.8;0;540000
41;738;18;20000;69.8;0;360000
25;300;12;20000;69.8;0;240000
73;985.5;13.5;30000;69.8;0;405000
18;216;12;3500;69.8;0;42000
36;360;10;30000;69.8;1;300000
54;648;12;8500;69.8;0;102000
67;536;8;8500;69.8;0;68000
27;270;10;12500;69.8;0;125000
32;320;10;20000;69.8;0;200000
74;185;2.5;5500;69.8;0;13750
44;264;6;12500;69.8;0;75000
26;312;12;20000;69.8;0;240000
61;732;12;20000;69.8;0;240000
35;420;12;30000;69.8;1;360000
19;190;10;12500;69.8;0;125000
66;792;12;12500;69.8;1;150000
67;670;10;6500;69.8;0;65000
43;516;12;20000;69.8;0;240000
51;612;12;30000;69.8;0;360000
24;288;12;8500;69.8;0;102000
33;445.5;13.5;20000;59.3;1;270000
34;340;10;20000;59.3;0;200000
31;310;10;8500;59.3;1;85000
36;432;12;8500;59.3;1;102000
58;580;10;20000;59.3;0;200000
36;360;10;12500;59.3;0;125000
30;540;18;8500;59.3;0;153000
25;375;15;500;59.3;1;7500
32;512;16;30000;59.3;0;480000
33;264;8;8500;59.3;0;68000
59;354;6;3500;59.3;1;21000
41;410;10;12500;59.3;1;125000
63;756;12;5500;59.3;0;66000
39;624;16;30000;63.5;0;480000
39;526.5;13.5;8500;63.5;0;114750
34;544;16;20000;63.5;0;320000
30;360;12;12500;63.5;0;150000
52;936;18;30000;63.5;0;540000
44;594;13.5;20000;63.5;1;270000
69;552;8;6500;60;0;52000
27;324;12;20000;60;0;240000
59;590;10;20000;60;0;200000
48;288;6;12500;60;0;75000
38;608;16;30000;60;1;480000
27;216;8;20000;60;0;160000
35;560;16;30000;60;0;480000
33;396;12;30000;60;0;360000
46;552;12;30000;60;0;360000
62;620;10;20000;60;1;200000
67;670;10;4500;60;0;45000
39;390;10;20000;60;1;200000
32;432;13.5;12500;60;0;168750
49;661.5;13.5;20000;60;0;270000
53;954;18;30000;60;0;540000
51;918;18;30000;60;0;540000
32;384;12;20000;60;1;240000
25;450;18;5500;60;0;99000
28;420;15;8500;60;1;127500
45;540;12;30000;60;0;360000
54;729;13.5;30000;60;0;405000
49;588;12;30000;60;1;360000
25;300;12;20000;60;0;240000
31;372;12;20000;60;1;240000
26;351;13.5;20000;60;1;270000
27;270;10;8500;60;0;85000
58;783;13.5;30000;60;0;405000
56;336;6;5500;60;0;33000
66;792;12;12500;60;0;150000
20;240;12;20000;60;0;240000
54;432;8;12500;60;0;100000
40;540;13.5;30000;60;0;405000
23;230;10;30000;60;1;300000
37;0;0;6500;60;1;0
23;276;12;30000;60;0;360000
28;504;18;30000;60;1;540000
40;320;8;30000;60;1;240000
59;354;6;3500;60;0;21000
71;426;6;30000;60;0;180000
47;564;12;30000;60;1;360000
58;783;13.5;20000;60;1;270000
56;560;10;30000;60;1;300000
33;594;18;30000;60;0;540000
25;400;16;30000;60;0;480000
57;684;12;8500;60;1;102000
37;666;18;30000;60;0;540000
36;432;12;30000;60;0;360000
44;594;13.5;30000;60;0;405000
49;735;15;20000;60;0;300000
23;276;12;6500;60;0;78000
50;800;16;30000;60;0;480000
43;344;8;20000;60;1;160000
78;624;8;30000;60;0;240000
66;792;12;8500;60;0;102000
39;468;12;20000;60;0;240000
48;576;12;30000;60;0;360000
30;480;16;30000;60;0;480000
32;512;16;30000;60;0;480000
65;650;10;20000;60;0;200000
36;486;13.5;30000;60;1;405000
83;830;10;5500;60;0;55000
61;976;16;30000;60;0;480000
47;564;12;30000;60;0;360000
26;416;16;20000;60;1;320000
29;464;16;20000;60;1;320000
61;732;12;30000;60;0;360000
17;170;10;20000;60;0;200000
26;416;16;30000;60;0;480000
17;170;10;20000;53.7;0;200000
37;666;18;30000;53.7;1;540000
48;576;12;30000;53.7;1;360000
50;600;12;20000;53.7;0;240000
59;708;12;20000;53.7;0;240000
48;768;16;30000;53.7;0;480000
43;516;12;12500;53.7;0;150000
41;553.5;13.5;30000;53.7;1;405000
64;768;12;8500;53.7;0;102000
19;228;12;5500;53.7;0;66000
43;774;18;30000;53.7;0;540000
64;512;8;20000;53.7;0;160000
51;510;10;30000;53.7;0;300000
19;152;8;5500;53.7;1;44000
34;612;18;30000;53.7;0;540000
18;180;10;20000;53.7;0;200000
46;460;10;20000;53.7;0;200000
38;684;18;30000;53.7;0;540000
51;510;10;30000;53.7;1;300000
36;486;13.5;8500;53.7;1;114750
22;264;12;3500;53.7;1;42000
68;816;12;12500;53.7;1;150000
19;256.5;13.5;3500;53.7;0;47250
39;702;18;20000;53.7;0;360000
32;480;15;20000;53.7;1;300000
19;228;12;30000;53.7;0;360000
65;520;8;20000;53.7;1;160000
49;735;15;20000;53.7;0;300000
50;600;12;12500;53.7;0;150000
62;155;2.5;4500;53.7;0;11250
54;648;12;30000;53.7;0;360000
24;288;12;20000;58.8;1;240000
59;708;12;30000;58.8;1;360000
69;552;8;8500;58.8;0;68000
43;516;12;20000;58.8;1;240000
71;177.5;2.5;3500;58.8;0;8750
17;170;10;30000;58.8;0;300000
27;432;16;20000;58.8;0;320000
69;552;8;8500;58.8;0;68000
35;630;18;30000;58.8;0;540000
46;552;12;12500;58.3;0;150000
20;240;12;30000;58.3;0;360000
44;792;18;30000;58.3;0;540000
51;688.5;13.5;20000;58.3;1;270000
37;444;12;30000;58.3;1;360000
28;336;12;20000;58.3;0;240000
18;216;12;8500;58.3;1;102000
40;320;8;12500;58.3;1;100000
28;336;12;20000;58.3;1;240000
35;420;12;12500;58.3;1;150000
21;283.5;13.5;30000;46.3;1;405000
35;420;12;20000;46.3;0;240000
24;324;13.5;30000;46.3;1;405000
37;666;18;30000;46.3;0;540000
48;768;16;30000;46.3;0;480000
30;360;12;30000;46.3;1;360000
25;337.5;13.5;20000;46.3;0;270000
72;864;12;6500;46.3;1;78000
52;520;10;4500;46.3;1;45000
18;180;10;30000;46.3;1;300000
34;544;16;30000;46.3;1;480000
29;290;10;12500;46.3;1;125000
47;470;10;30000;46.3;0;300000
53;636;12;30000;46.3;1;360000
27;364.5;13.5;20000;60;1;270000
55;880;16;30000;60;0;480000
26;351;13.5;8500;60;1;114750
47;282;6;12500;60;1;75000
25;300;12;12500;60;1;150000
28;378;13.5;8500;60;1;114750
19;228;12;30000;60;1;360000
21;283.5;13.5;6500;60;0;87750
45;607.5;13.5;30000;60;1;405000
50;300;6;5500;60;1;33000
32;384;12;20000;60;0;240000
63;1134;18;30000;59;0;540000
69;552;8;12500;59;1;100000
37;370;10;20000;58.1;1;200000
17;170;10;20000;58.1;0;200000
30;540;18;30000;58.1;0;540000
29;464;16;20000;58.1;1;320000
28;378;13.5;30000;58.1;0;405000
22;264;12;12500;58.1;1;150000
36;360;10;30000;58.1;0;300000
30;405;13.5;20000;58.1;0;270000
21;252;12;20000;58.1;1;240000
52;832;16;20000;58.1;1;320000
26;351;13.5;30000;58.1;0;405000
19;228;12;8500;58.1;0;102000
63;1134;18;30000;58.1;1;540000
35;420;12;20000;58.1;0;240000
21;210;10;30000;58.1;1;300000
22;330;15;8500;58.1;0;127500
72;864;12;30000;58.1;0;360000
54;972;18;30000;58.1;0;540000
37;499.5;13.5;30000;58.1;0;405000
56;896;16;30000;58.1;0;480000
26;390;15;3500;58.1;1;52500
18;216;12;30000;58.1;0;360000
33;396;12;30000;58.1;1;360000
51;688.5;13.5;30000;58.1;0;405000
31;558;18;12500;58.1;1;225000
23;230;10;30000;68.2;1;300000
17;170;10;20000;68.2;0;200000
33;396;12;30000;68.2;0;360000
17;170;10;30000;68.2;0;300000
24;240;10;12500;68.2;0;125000
23;276;12;6500;68.2;0;78000
80;800;10;8500;68.2;0;85000
56;560;10;20000;68.2;0;200000
57;684;12;6500;68.2;0;78000
56;896;16;30000;68.2;0;480000
61;732;12;20000;68.2;0;240000
52;832;16;30000;68.2;0;480000
24;288;12;8500;68.2;1;102000
38;456;12;20000;68.2;1;240000
52;520;10;20000;68.2;0;200000
60;720;12;30000;68.2;0;360000
44;528;12;30000;68.2;1;360000
46;828;18;30000;68.2;0;540000
53;636;12;30000;68.2;0;360000
28;336;12;30000;68.2;1;360000
29;522;18;20000;68.2;0;360000
18;216;12;6500;68.2;0;78000
61;915;15;20000;68.2;0;300000
38;456;12;20000;68.2;1;240000
26;312;12;20000;68.2;0;240000
40;640;16;20000;68.2;1;320000
29;464;16;20000;68.2;0;320000
52;624;12;8500;68.2;1;102000
32;384;12;20000;68.2;0;240000
23;276;12;8500;68.2;0;102000
54;729;13.5;20000;68.2;0;270000
55;742.5;13.5;12500;60.3;1;168750
22;352;16;8500;60.3;1;136000
23;276;12;20000;60.3;0;240000
22;220;10;20000;60.3;1;200000
62;372;6;30000;60.3;1;180000
40;400;10;30000;60.3;1;300000
46;828;18;30000;60.3;0;540000
20;270;13.5;12500;60.3;1;168750
49;882;18;20000;60.3;0;360000
19;190;10;20000;60.3;0;200000
38;304;8;30000;60.3;0;240000
30;360;12;4500;60.3;1;54000
61;823.5;13.5;20000;60.3;1;270000
63;850.5;13.5;20000;60.3;0;270000
60;360;6;4500;60.3;1;27000
36;486;13.5;12500;60.3;0;168750
31;372;12;20000;60.3;0;240000
18;216;12;500;60.3;0;6000
21;252;12;30000;60.3;0;360000
17;204;12;20000;60.3;0;240000
37;499.5;13.5;30000;60.3;0;405000
64;768;12;8500;60.3;1;102000
20;240;12;12500;60.3;1;150000
63;1134;18;30000;60.3;0;540000
18;216;12;30000;60.3;0;360000
21;210;10;5500;60.3;1;55000
31;496;16;20000;60.3;1;320000
30;300;10;30000;60.3;1;300000
30;360;12;6500;60.3;0;78000
25;300;12;30000;60.3;1;360000
40;640;16;30000;60.3;0;480000
64;864;13.5;8500;60.3;1;114750
40;480;12;30000;60.3;1;360000
24;432;18;4500;60.3;1;81000
32;384;12;30000;60.3;1;360000
57;684;12;20000;60.3;1;240000
25;300;12;20000;60.3;1;240000
20;240;12;5500;60.3;1;66000
18;216;12;1500;60.3;0;18000
39;585;15;30000;60.3;0;450000
43;516;12;30000;60.3;0;360000
40;480;12;20000;60.3;0;240000
26;312;12;8500;60.3;0;102000
24;192;8;5500;60.3;1;44000
72;720;10;6500;60.3;1;65000
57;570;10;20000;60.3;0;200000
33;495;15;20000;60.3;1;300000
58;580;10;20000;60.3;0;200000
31;372;12;20000;60.3;0;240000
21;252;12;30000;60.3;1;360000
23;310.5;13.5;4500;60.3;0;60750
27;270;10;30000;60.3;1;300000
59;708;12;30000;60.3;0;360000
42;252;6;20000;60.3;1;120000
60;720;12;30000;60.3;0;360000
76;912;12;6500;60.3;0;78000
62;620;10;30000;60.3;1;300000
18;216;12;3500;63;0;42000
65;780;12;20000;63;0;240000
31;418.5;13.5;12500;63;0;168750
67;804;12;8500;63;0;102000
29;290;10;12500;63;1;125000
74;1110;15;20000;63;0;300000
42;504;12;20000;63;0;240000
56;560;10;20000;63;1;200000
30;480;16;20000;63;1;320000
53;715.5;13.5;20000;63;0;270000
31;496;16;30000;63;0;480000
17;170;10;30000;63;0;300000
25;337.5;13.5;30000;63;0;405000
36;648;18;30000;63;0;540000
38;456;12;30000;63;1;360000
37;444;12;30000;59.7;1;360000
22;297;13.5;20000;59.7;1;270000
58;783;13.5;30000;59.7;0;405000
50;300;6;1500;57.3;1;9000
33;495;15;20000;57.3;0;300000
35;350;10;20000;57.3;0;200000
35;350;10;20000;57.3;0;200000
70;840;12;12500;57.3;1;150000
58;696;12;20000;57.3;0;240000
54;648;12;30000;57.3;0;360000
23;276;12;20000;57.3;1;240000
51;612;12;30000;57.3;0;360000
51;408;8;12500;57.3;1;100000
56;672;12;20000;57.3;1;240000
27;324;12;20000;57.3;1;240000
25;300;12;12500;57.3;0;150000
72;720;10;8500;57.3;0;85000
51;408;8;20000;57.3;1;160000
44;704;16;30000;57.3;0;480000
72;1296;18;12500;57.3;0;225000
43;516;12;30000;57.3;1;360000
33;396;12;30000;57.3;0;360000
67;536;8;6500;57.3;0;52000
71;568;8;2500;57.3;1;20000
84;1134;13.5;20000;57.3;0;270000
41;492;12;30000;57.3;1;360000
32;320;10;20000;57.3;1;200000
51;408;8;4500;57.3;0;36000
46;828;18;20000;57.3;0;360000
25;450;18;12500;57.3;0;225000
18;216;12;8500;57.3;1;102000
58;696;12;30000;57.3;0;360000
35;420;12;30000;57.3;1;360000
30;360;12;30000;57.3;1;360000
31;372;12;12500;57.3;1;150000
19;228;12;12500;59.5;0;150000
40;480;12;30000;59.5;0;360000
45;450;10;12500;59.5;1;125000
18;180;10;30000;59.5;0;300000
71;1278;18;12500;63.1;0;225000
61;610;10;20000;63.1;0;200000
33;396;12;30000;63.1;1;360000
45;810;18;30000;55.3;0;540000
36;648;18;30000;55.3;0;540000
24;324;13.5;20000;55.3;1;270000
32;512;16;12500;55.3;1;200000
58;696;12;20000;66.4;0;240000
61;732;12;30000;66.4;1;360000
70;1120;16;30000;66.4;0;480000
55;880;16;30000;66.4;0;480000
25;337.5;13.5;30000;66.4;1;405000
67;402;6;12500;66.4;0;75000
38;456;12;20000;66.4;0;240000
65;650;10;30000;66.4;0;300000
41;553.5;13.5;30000;66.4;0;405000
29;464;16;30000;66.4;1;480000
23;368;16;12500;66.4;0;200000
67;402;6;4500;66.4;0;27000
32;512;16;12500;66.4;0;200000
69;828;12;8500;66.4;1;102000
18;180;10;6500;66.4;0;65000
50;600;12;20000;66.4;1;240000
31;372;12;12500;66.4;1;150000
55;660;12;20000;66.4;0;240000
39;312;8;12500;66.4;0;100000
51;612;12;30000;66.4;0;360000
66;528;8;20000;66.4;0;160000
73;584;8;8500;66.4;0;68000
28;378;13.5;8500;66.4;1;114750
20;300;15;30000;66.4;0;450000
60;810;13.5;20000;66.4;0;270000
19;228;12;30000;66.4;0;360000
56;1008;18;30000;66.4;0;540000
23;310.5;13.5;12500;66.4;0;168750
17;170;10;30000;66.4;1;300000
67;402;6;12500;66.4;1;75000
53;636;12;30000;66.4;0;360000
65;162.5;2.5;6500;66.4;1;16250
59;708;12;12500;66.4;0;150000
35;420;12;20000;66.4;0;240000
28;420;15;30000;66.4;1;450000
42;504;12;8500;66.4;0;102000
27;486;18;30000;66.4;0;540000
53;848;16;20000;66.4;0;320000
32;384;12;20000;66.4;1;240000
33;445.5;13.5;20000;66.4;0;270000
50;400;8;8500;66.4;0;68000
32;384;12;20000;66.4;1;240000
31;558;18;20000;66.4;0;360000
24;288;12;20000;66.4;0;240000
25;400;16;20000;66.4;0;320000
56;672;12;8500;66.4;0;102000
31;372;12;20000;66.4;1;240000
49;490;10;20000;66.4;1;200000
25;250;10;30000;66.4;1;300000
75;1350;18;30000;66.4;0;540000
28;378;13.5;12500;66.4;1;168750
25;300;12;8500;62.6;1;102000
25;300;12;20000;62.6;0;240000
39;702;18;30000;62.6;0;540000
84;0;0;4500;64.4;0;0
75;750;10;8500;64.4;0;85000
62;496;8;30000;64.4;0;240000
36;648;18;30000;64.4;0;540000
41;492;12;30000;64.4;0;360000
45;450;10;20000;64.4;1;200000
23;276;12;20000;64.4;1;240000
42;672;16;30000;64.4;0;480000
49;588;12;20000;64.4;1;240000
64;768;12;12500;64.4;0;150000
19;152;8;8500;64.4;1;68000
58;696;12;12500;64.4;1;150000
24;288;12;20000;64.4;0;240000
32;512;16;20000;64.4;0;320000
64;512;8;12500;64.4;1;100000
60;720;12;4500;64.4;0;54000
75;900;12;12500;64.4;0;150000
48;576;12;30000;64.4;1;360000
29;72.5;2.5;12500;64.4;0;31250
28;336;12;30000;64.4;1;360000
53;636;12;3500;64.4;0;42000
23;276;12;30000;64.4;1;360000
57;456;8;20000;64.4;1;160000
51;612;12;20000;64.4;1;240000
64;640;10;20000;64.4;0;200000
36;486;13.5;30000;64.4;1;405000
56;672;12;30000;64.4;1;360000
38;456;12;3500;64.4;1;42000
79;197.5;2.5;1500;64.4;0;3750
44;528;12;20000;64.4;1;240000
25;250;10;3500;64.4;1;35000
50;900;18;30000;64.4;1;540000
24;288;12;12500;64.4;1;150000
17;170;10;20000;64.4;0;200000
23;368;16;20000;64.4;0;320000
50;675;13.5;12500;64.4;0;168750
18;216;12;30000;64.4;0;360000
31;310;10;12500;64.4;1;125000
30;540;18;20000;64.4;0;360000
68;918;13.5;30000;64.4;0;405000
26;312;12;20000;64.4;0;240000
47;282;6;12500;64.4;1;75000
62;930;15;12500;64.4;0;187500
19;228;12;20000;64.4;0;240000
57;570;10;12500;64.4;0;125000
63;1008;16;30000;64.4;0;480000
30;480;16;30000;64.4;0;480000
34;408;12;20000;64.4;1;240000
34;612;18;30000;64.4;1;540000
38;513;13.5;20000;64.4;1;270000
34;408;12;20000;64.4;0;240000
43;580.5;13.5;12500;64.4;0;168750
58;928;16;30000;64.4;0;480000
45;607.5;13.5;30000;64.4;1;405000
23;310.5;13.5;12500;64.4;1;168750
28;448;16;20000;64.4;1;320000
48;480;10;20000;64.4;0;200000
28;448;16;20000;64.4;0;320000
24;288;12;8500;64.4;1;102000
35;280;8;12500;64.4;1;100000
26;351;13.5;12500;64.4;1;168750
27;486;18;30000;64.4;0;540000
50;800;16;30000;64.4;0;480000
59;590;10;12500;64.4;0;125000
56;560;10;20000;64.4;1;200000
59;590;10;20000;64.4;1;200000
28;224;8;12500;64.4;1;100000
51;612;12;20000;64.4;0;240000
58;783;13.5;20000;64.4;1;270000
