date;time;close
1997/06/02;127;45.66
1997/06/09;128;47.13
1997/06/16;129;48.66
1997/06/23;130;49.64
1997/06/30;131;52.94
1997/07/07;132;53.55
1997/07/14;133;51.9
1997/07/21;134;45.24
1997/07/28;135;46.34
1997/08/04;136;45.11
1997/08/11;137;44.07
1997/08/18;138;45.24
1997/08/25;139;45.24
1997/09/02;140;48.84
1997/09/08;141;51.04
1997/09/15;142;53.18
1997/09/22;143;54.83
1997/09/29;144;63.09
1997/10/06;145;66.02
1997/10/13;146;60.15
1997/10/20;147;57.95
1997/10/27;148;55.14
1997/11/03;149;61.13
1997/11/10;150;68.28
1997/11/17;151;68.1
1997/11/24;152;66.26
1997/12/01;153;65.53
1997/12/08;154;49.58
1997/12/15;155;46.95
1997/12/22;156;45.3
1997/12/29;157;50.68
1998/01/05;158;45.42
1998/01/12;159;44.99
1998/01/20;160;53.24
1998/01/26;161;50.74
1998/02/02;162;46.7
1998/02/09;163;45.54
1998/02/17;164;45.6
1998/02/23;165;49.88
1998/03/02;166;47.41
1998/03/09;167;47.01
1998/03/16;168;46.7
1998/03/23;169;48.84
1998/03/30;170;54.53
1998/04/06;171;52.75
1998/05/13;172;54.47
1998/04/20;173;55.44
1998/04/27;174;54.41
1998/05/04;175;54.89
1998/05/11;176;55.99
1998/05/18;177;54.19
1998/05/26;178;50.98
1998/06/01;179;50.74
1998/06/08;180;47.93
1998/06/15;181;48.17
1998/06/22;182;52.94
1998/06/29;183;53.18
1998/07/06;184;55.26
1998/07/13;185;55.99
1998/07/20;186;61.62
1998/07/27;187;60.98
1998/08/03;188;57.46
1998/08/10;189;53.31
1998/08/17;190;52.57
1998/08/24;191;45.05
1998/08/31;192;41.63
1998/09/08;193;44.5
1998/09/14;194;47.01
1998/09/21;195;51
1998/09/28;196;47.62
1998/10/05;197;40.94
1998/10/12;198;47.5
1998/10/19;199;54.25
1998/10/26;200;55.62
1998/11/02;201;56.94
1998/11/09;202;54.88
1998/11/16;203;55.38
1998/11/23;204;54.94
1998/11/30;205;53.94
1998/12/07;206;52.19
1998/12/14;207;50.19
1998/12/21;208;51.06
1998/12/28;209;51.81
1999/01/04;210;60.25
1999/01/11;211;63.88
1999/01/19;212;59
1999/01/25;213;65.81
1999/02/01;214;67.06
1999/02/08;215;66.94
1999/02/16;216;64.88
1999/02/22;217;73
1999/03/01;218;76.56
1999/03/08;219;77.25
1999/03/15;220;84.56
1999/03/22;221;111.56
1999/03/29;222;137
1999/04/05;223;145.56
1999/04/12;224;142.5
1999/04/19;225;190.88
1999/04/26;226;200
1999/05/03;227;216.25
1999/05/10;228;112
1999/05/17;229;100.31
1999/05/24;230;97.25
1999/06/01;231;109.94
1999/06/07;232;108.75
1999/06/14;233;129.75
1999/06/21;234;126.75
1999/06/28;235;144.25
1999/07/06;236;148.75
1999/07/12;237;158.25
1999/07/19;238;154.69
1999/07/26;239;156
1999/08/02;240;147.75
1999/08/09;241;160
1999/08/16;242;174.94
1999/08/23;243;183.75
1999/08/30;244;163.38
1999/09/07;245;165.69
1999/09/13;246;189.94
1999/09/20;247;189.5
1999/09/27;248;186.81
1999/10/04;249;213.94
1999/10/11;250;198.5
1999/10/18;251;215.75
1999/10/25;252;222.75
1999/11/01;253;294.38
1999/11/08;254;378
1999/11/15;255;367.06
1999/11/22;256;384.75
1999/11/29;257;384.44
1999/12/06;258;391.5
1999/12/13;259;455
1999/12/20;260;466.5
