countryid;country;cntry_code;year;aidcap;raidcap;infmort;infmort_2;pop;raid;civlib;polright;civil_polrts;goveff;regqual;rgdpcap1;rgdpcap;rgdcap_2;popmil;popmil_2;deflator;y1;y2;y3
11;Belize;11;2000;58.68695;58.68695;34;1156;249800;14.6717375;1;1;2;-0.28;-0.17;3330.664532;5869;34445161;0.25;0.0625;1;0;1;0
11;Belize;11;2003;44.02631;41.591228;33;1089;273700;11.39599647;2;1;3;0.06;0.23;3532.233963;6113;37368769;274;0.075076;0.9446903;0;0;1
12;Benin;12;1995;51.27605;55.67923722;102;10404;5470000;304.5654276;2;2;4;0.01;0.16;398.8597179;868;753424;5.47;29.9209;1.0858722;1;0;0
12;Benin;12;2000;38.34459;38.34459;95;9025;6222000;238.580039;2;2;4;0.05;-0.04;362.3977821;973;946729;6222;38.713284;1;0;1;0
12;Benin;12;2003;43.7082;41.29071257;91;8281;6720250;277.4735885;2;2;4;-0.44;-0.49;500.0378846;1044;1089936;6.72;45.1584;0.9446903;0;0;1
13;Bolivia;13;1995;96.06923;104.3189061;70;4900;7482000;780.5140554;4;2;6;-0.44;0.82;974.5804587;2267;5139289;7482;55.980324;1.0858722;1;0;0
13;Bolivia;13;2000;57.06745;57.06745;59;3481;8317000;474.6299817;3;1;4;-0.4;0.67;1009.722015;2400;5760000;8317;69.172489;1;0;1;0
13;Bolivia;13;2003;105478;99.64404346;53;2809;8814158;878.2625991;3;3;6;-0.58;-0.04;867.0204434;2451;6007401;8814;77.686596;0.9446903;0;0;1
14;Botswana;14;1995;60.28094;65.45739694;50;2500;1495000;97.85880843;2;2;4;0.33;0.69;3467.389677;5836;34058896;1495;2.235025;1.0858722;1;0;0
14;Botswana;14;2000;18.33433;18.33433;74;5476;1675000;30.71000275;2;2;4;0.98;0.79;3134.833433;7525;56625625;1675;2.805625;1;0;1;0
14;Botswana;14;2003;17.4517;16.48645171;82;6724;1722468;28.38966984;2;2;4;0.87;0.87;4129.932554;8232;67765824;1722;2.965284;0.9446903;0;0;1
15;Brazil;15;1995;1.712555;1.859615865;41;1681;159481000;296.5733978;4;2;6;-0.16;0.21;4794.530103;6930;48024900;159481;25434.189361;1.0858722;1;0;0
15;Brazil;15;2000;1.895473;1.895473;35;1225;170100000;322.4199573;3;3;6;-0.18;0.37;3537.519106;7366;54257956;170.1;28934.01;1;0;1;0
15;Brazil;15;2003;1.67597;1.583272602;33;1089;176596300;279.5996084;3;2;5;-0.09;0.21;2705.457661;7405;54834025;176596;31186.147216;0.9446903;0;0;1
16;Bulgaria;16;1995;13.53571;14.6980512;15;225;8400000;123.4636301;2;2;4;-0.45;-0.08;1694.181685;6044;36529936;8.4;70.56;1.0858722;1;0;0
16;Bulgaria;16;2000;38.60049;38.60049;13;169;8060000;311.1199494;3;2;5;-0.16;0.22;1564.146402;5990;35880100;8.06;64.9636;1;0;1;0
16;Bulgaria;16;2003;52972;50.04213457;12;144;7823000;391.4796187;2;1;3;-0.05;0.61;2407.788912;7086;50211396;7823;61.199329;0.9446903;0;0;1
17;Burkina Faso;17;1995;49.16099;53.38255237;110;12100;9988000;533.1849331;4;5;9;-0.76;-0.27;267.7895873;929;863041;9988;99.760144;1.0858722;1;0;0
17;Burkina Faso;17;2000;29.80397;29.80397;107;11449;11274000;336.0099578;4;4;8;-0.14;0.01;230.6813021;1013;1026169;11274;127.103076;1;0;1;0
17;Burkina Faso;17;2003;37.24928;35.1890335;107;11449;12109230;426.1040067;4;4;8;-0.56;-0.22;326.244303;1109;1229881;12109;146.627881;0.9446903;0;0;1
18;Burundi;18;1995;46.74139;50.75517599;114;12996;6156000;312.4488634;7;6;13;-0.98;-1.31;176.4679911;694;481636;6156;37.896336;1.0858722;1;0;0
18;Burundi;18;2000;13.61393;13.61393;114;12996;6807000;92.67002151;6;6;12;-1.25;-0.86;99.68197444;600;360000;6807;46.335249;1;0;1;0
18;Burundi;18;2003;31.11304;29.39218709;114;12996;7205982;211.8001002;5;5;10;-1.36;-1.32;78.06887177;611;373321;7206;51.926436;0.9446903;0;0;1
19;Cambodia;19;1995;49.55347;53.80873549;88;7744;11220000;603.7340122;6;6;12;-0.58;-0.29;327.5234441;1451;2105401;11.22;125.8884;1.0858722;1;0;0
19;Cambodia;19;2000;31.38401;31.38401;95;9025;12695000;398.420007;6;6;12;-0.44;-0.07;283.098779;1804;3254416;12695;161.163025;1;0;1;0
19;Cambodia;19;2003;37.90313;35.80671925;97;9409;13403640;479.9532648;5;6;11;-0.69;-0.34;291.3299729;2026;4104676;13404;179.667216;0.9446903;0;0;1
20;Cameroon;20;1995;33.08782;35.9291439;92;8464;13414000;481.9535363;5;7;12;-1.04;-0.82;644.6324757;1669;2785561;13414;179.935396;1.0858722;1;0;0
20;Cameroon;20;2000;25.13329;25.13329;95;9025;15117000;379.9399449;6;7;13;-0.44;0;587.3713038;1869;3493161;15117;228.523689;1;0;1;0
20;Cameroon;20;2003;54944;51.90506384;95;9025;16087470;834.996762;6;6;12;-0.62;-0.74;733.490333;1962;3849444;16087;258.791569;0.9446903;0;0;1
21;Cape Verde;21;1995;306.9895;333.3513637;37;1369;382000;127.3402209;2;1;3;-0.05;-0.56;1394.604712;4063;16507969;382;0.145924;1.0858722;1;0;0
21;Cape Verde;21;2000;216.3704;216.3704;30;900;434810;94.121124;2;1;3;0.33;-0.07;1222.110807;4919;24196561;435;0.189225;1;0;1;0
21;Cape Verde;21;2003;305.9101;288.9903041;26;676;469681;135.8254429;1;1;2;-0.14;0.01;1603.675446;5155;26574025;0.47;0.2209;0.9446903;0;0;1
22;Central African Republic;22;1995;50.26237;54.57851029;115;13225;3354000;183.0563235;4;3;7;-0.82;-0.29;363.2223084;1148;1317904;3354;11.249316;1.0858722;1;0;0
22;Central African Republic;22;2000;20.29341;20.29341;115;13225;3715000;75.39001815;4;3;7;-1.06;-0.65;256.4833917;1154;1331716;3715;13.801225;1;0;1;0
22;Central African Republic;22;2003;12.84771;12.13710701;115;13225;3880847;47.10411231;5;7;12;-1.58;-1.07;292.8407094;1044;1089936;3881;15.062161;0.9446903;0;0;1
23;Chad;23;1995;35.11811;38.13377937;117;13689;6731000;256.6784689;5;6;11;-0.58;0.01;232.0557773;890;792100;6731;45.306361;1.0858722;1;0;0
23;Chad;23;2000;16.63274;16.63274;117;13689;7861000;130.7499691;5;6;11;-0.36;-0.28;176.8572701;847;717409;7861;61.795321;1;0;1;0
23;Chad;23;2003;28.77272;27.18130949;117;13689;8581741;233.269998;5;6;11;-0.98;-0.9;287.1111869;1148;1317904;8582;73.650724;0.9446903;0;0;1
24;Chile;24;1995;11.0778;12.02907506;12;144;14210400;170.9331566;2;2;4;1.2;1.52;4983.398734;7993;63888049;14.21;201.9241;1.0858722;1;0;0
24;Chile;24;2000;3.239039;3.239039;11;121;15211300;49.26902223;2;2;4;1.34;1.38;4964.399492;9197;84584809;15211;231.374521;1;0;1;0
24;Chile;24;2003;4.790795;4.525817566;8;64;15774000;71.39024629;1;1;2;1.26;1.55;4336.702813;9706;94206436;15774;248.819076;0.9446903;0;0;1
25;China;25;1995;2.885119;3.132870516;37;1369;1204855000;3774.654706;7;7;14;0.18;-0.06;631.1234093;2702;7300804;1204855;1451675.571025;1.0858722;1;0;0
25;China;25;2000;1.371605;1.371605;32;1024;1262645000;1731.850195;6;7;13;0.22;-0.21;855.9341699;3821;14600041;1262645;1594272.396025;1;0;1;0
25;China;25;2003;1.028089;0.971225706;30;900;1288400000;1251.3272;6;7;13;0.16;-0.44;1038.684932;4727;22344529;1288.4;1659974.56;0.9446903;0;0;1
26;Colombia;26;1995;4.438015;4.819117112;24;576;38542000;185.7384117;4;4;8;0.07;0.49;2606.15329;6442;41499364;38542;1485.485764;1.0858722;1;0;0
26;Colombia;26;2000;4.416483;4.416483;20;400;42321000;186.909977;4;4;8;-0.31;0.12;1979.59949;6208;38539264;42321;1791.067041;1;0;1;0
26;Colombia;26;2003;17.99166;16.99654668;18;324;44584000;757.7740372;4;4;8;-0.29;-0.09;1694.2259;6442;41499364;44584;1987.733056;0.9446903;0;0;1
27;Comoros;27;1995;84.89838;92.18879067;74;5476;492000;45.35688501;4;4;8;-0.63;-0.72;511.8029081;1793;3214849;492;0.242064;1.0858722;1;0;0
27;Comoros;27;2000;33.60215;33.60215;61;3721;558000;18.7499997;4;6;10;-1.29;-0.9;365.3164875;1720;2958400;558;0.311364;1;0;1;0
27;Comoros;27;2003;40.80702;38.54999597;54;2916;600142;23.12999758;4;5;9;-1.21;-1.03;502.0837427;1720;2958400;0.6;0.36;0.9446903;0;0;1
28;Congo, Dem. Rep.;28;1995;4.409121;4.78774192;129;16641;44383000;212.4943496;4;4;8;-1.24;-0.7;138.0720889;964;929296;44383;1969.850689;1.0858722;1;0;0
28;Congo, Dem. Rep.;28;2000;3.778592;3.778592;129;16641;48571000;183.529992;4;6;10;-1.66;-1.03;88.61971135;684;467856;48571;2359.142041;1;0;1;0
28;Congo, Dem. Rep.;28;2003;101235;95.63572252;129;16641;53153360;5083.325559;4;5;9;-1.25;-1.11;100.7909457;628;394384;53153;2825.241409;0.9446903;0;0;1
29;Congo, Rep.;29;1995;42.71458;46.38257496;81;6561;2936000;136.1792401;6;7;13;-2.07;-2.38;782.5961572;1217;1481089;2936;8.620096;1.0858722;1;0;0
29;Congo, Rep.;29;2000;9.654772;9.654772;81;6561;3447000;33.27999908;6;7;13;-1.79;-2.65;934.1148825;961;923521;3447;11.881809;1;0;1;0
29;Congo, Rep.;29;2003;18.57735;17.54984234;81;6561;3757263;65.93475767;6;6;12;-1.5;-1.72;896.186099;911;829921;3757;14.115049;0.9446903;0;0;1
30;Costa Rica;30;1995;9.956268;10.81123464;14;196;3430000;37.08253482;2;1;3;0.16;0.68;3711.074298;7249;52548001;3.43;11.7649;1.0858722;1;0;0
30;Costa Rica;30;2000;3.086614;3.086614;10;100;3810000;11.75999934;2;1;3;0.76;0.92;4185.388451;8836;78074896;3.81;14.5161;1;0;1;0
30;Costa Rica;30;2003;7.061738;6.67115539;8;64;4004680;26.71797734;2;1;3;0.47;0.72;4124.762503;9022;81396484;4005;16.040025;0.9446903;0;0;1
31;Cote d'Ivoire;31;1995;87.38544;94.88941998;110;12100;13880000;1317.065149;5;6;11;-0.11;-0.15;860.5701474;1565;2449225;13.88;192.6544;1.0858722;1;0;0
31;Cote d'Ivoire;31;2000;22.22973;22.22973;115;13225;15827000;351.8299367;5;6;11;-0.75;-0.32;669.6626019;1585;2512225;15827;250.493929;1;0;1;0
31;Cote d'Ivoire;31;2003;14.97617;14.14784253;117;13689;16835420;238.178929;5;6;11;-1.1;-0.61;783.586886;1417;2007889;16835;283.417225;0.9446903;0;0;1
32;Croatia;32;1995;11.5803;12.57472584;10;100;4670000;58.72396967;4;4;8;-0.17;-0.08;4373.997856;7430;55204900;4.67;21.8089;1.0858722;1;0;0
32;Croatia;32;2000;14.96347;14.96347;7;49;4380000;65.5399986;3;2;5;0.15;0.31;4207.130137;9565;91489225;4.38;19.1844;1;0;1;0
32;Croatia;32;2003;27.13148;25.63084598;6;36;4444653;113.9291104;2;2;4;0.28;0.19;6123.42923;11025;121550625;4445;19.758025;0.9446903;0;0;1
33;Czech Republic;33;1995;14.30258;15.53077401;7;49;10331000;160.4484263;2;1;3;0.78;1.18;5808.595375;13920;193766400;10331;106.729561;1.0858722;1;0;0
33;Czech Republic;33;2000;42.64939;42.64939;4;16;10273300;438.1371835;2;1;3;0.7;0.67;5422.549716;15395;237006025;10273;105.534529;1;0;1;0
33;Czech Republic;33;2003;25.80573;24.37842282;4;16;10202000;248.7086696;2;1;3;0.68;1.04;8373.075703;17149;294088201;10202;104.080804;0.9446903;0;0;1
34;Djibouti;34;1995;181.2414;196.8049977;111;12321;580000;114.1468987;6;5;11;-1.11;0.01;931.8356118;2273;5166529;0.58;0.3364;1.0858722;1;0;0
34;Djibouti;34;2000;107.1772;107.1772;102;10404;666000;71.3800152;5;4;9;-1.07;-0.66;830.222973;1972;3888784;666;0.443556;1;0;1;0
34;Djibouti;34;2003;110.2937;104.1933885;97;9409;705480;73.45633889;5;5;10;-0.82;-0.71;836.879267;1944;3779136;705;0.497025;0.9446903;0;0;1
35;Dominica;35;1995;343.5616;373.0639904;17;289;73000;27.2336713;1;1;2;-0.88;-0.21;3332.541782;4898;23990404;73;0.005329;1.0858722;1;0;0
35;Dominica;35;2000;213.5146;213.5146;14;196;71330;15.1595366;1;1;2;-0.67;-0.13;3801.631852;5931;35176761;71;0.005041;1;0;1;0
35;Dominica;35;2003;153.4836;144.9944681;12;144;71213;10.29460724;1;1;2;0.21;0.65;3425.015605;5125;26265625;71;0.005041;0.9446903;0;0;1
36;Dominican Republic;36;1995;15.58491;16.92322051;42;1764;7685000;130.0549496;3;4;7;-0.29;0.14;1778.213576;4808;23116864;7685;59.059225;1.0858722;1;0;0
36;Dominican Republic;36;2000;7.475159;7.475159;33;1089;8353000;62.44000313;2;2;4;-0.11;0.52;2358.826769;6349;40309801;8353;69.772609;1;0;1;0
36;Dominican Republic;36;2003;7.891389;7.454918642;29;841;8738639;65.14853401;2;3;5;-0.44;-0.2;1788.14808;6715;45091225;8739;76.370121;0.9446903;0;0;1
37;Ecuador;37;1995;19.91494;21.62507971;34;1156;11404000;246.612409;3;2;5;-0.65;-0.05;1923.956248;3326;11062276;11404;130.051216;1.0858722;1;0;0
37;Ecuador;37;2000;11.82045;11.82045;27;729;12420000;146.809989;3;3;6;-1.05;-0.19;1283.545894;3351;11229201;12.42;154.2564;1;0;1;0
37;Ecuador;37;2003;13.54326;12.79418635;24;576;13007940;166.426776;3;3;6;-0.89;-0.59;1975.446002;3440;11833600;13008;169.208064;0.9446903;0;0;1
38;Egypt, Arab Rep.;38;1995;34.65538;37.63131372;56;3136;58180000;2189.389832;6;6;12;-0.34;-0.14;1122.812945;3025;9150625;58.18;3384.9124;1.0858722;1;0;0
38;Egypt, Arab Rep.;38;2000;20.76372;20.76372;40;1600;63976000;1328.379751;5;6;11;0.3;0.01;1554.138583;3534;12489156;63976;4092.928576;1;0;1;0
38;Egypt, Arab Rep.;38;2003;13.22932;12.49761028;33;1089;67559040;844.3260529;6;6;12;-0.25;-0.52;1152.593497;3731;13920361;67559;4564.218481;0.9446903;0;0;1
39;El Salvador;39;1995;52429;56.93119357;38;1444;5669000;322.7429363;3;3;6;-0.38;0.73;1819.781979;4371;19105641;5669;32.137561;1.0858722;1;0;0
39;El Salvador;39;2000;28.99018;28.99018;34;1156;6209000;180.0000276;3;2;5;-0.11;1.15;2115.332582;4683;21930489;6209;38.551681;1;0;1;0
39;El Salvador;39;2003;29.35615;27.73247015;32;1024;6533215;181.1762275;3;2;5;-0.36;0.32;2160.338591;4750;22562500;6533;42.680089;0.9446903;0;0;1
40;Equatorial Guinea;40;1995;83.71571;90.90456219;113;12769;401000;36.45272944;7;7;14;-1.55;-0.95;444.0434712;1589;2524921;401;0.160801;1.0858722;1;0;0
40;Equatorial Guinea;40;2000;46.50655;46.50655;103;10609;458000;21.2999999;7;7;14;-2.22;-1.31;2928.054585;1504;2262016;458;0.209764;1;0;1;0
41;Eritrea;40;1995;41.69278;45.27303074;70;4900;3574000;161.8058119;4;6;10;-0.43;-0.14;175.6158565;1003;1006009;3574;12.773476;1.0858722;1;0;0
41;Eritrea;41;2000;42.95826;42.95826;53;2809;4097000;175.9999912;5;7;12;-0.28;-0.4;154.6446668;923;851929;4097;16.785409;1;0;1;0
41;Eritrea;41;2003;69.99886;66.12724405;45;2025;4389500;290.2986014;6;7;13;-0.78;-1.18;161.538727;984;968256;4.39;19.2721;0.9446903;0;0;1
42;Estonia;41;1995;40.49408;43.97139574;15;225;1437000;63.18689568;2;2;4;0.61;1.41;3248.375729;6847;46881409;1437;2.064969;1.0858722;1;0;0
42;Estonia;42;2000;46.60825;46.60825;8;64;1369500;63.8533025;2;1;3;1;1.33;3986.892296;9779;95628841;1.37;1.8769;1;0;1;0
42;Estonia;42;2003;62.46859;59.01347103;8;64;1353000;79.8452263;2;1;3;0.92;1.51;6341.274485;12198;148791204;1353;1.830609;0.9446903;0;0;1
43;Ethiopia;42;1995;15.62409;16.96576498;123;15129;56530000;959.0746943;5;4;9;-0.41;-0.72;111.0259088;601;361201;56.53;3195.6409;1.0858722;1;0;0
43;Ethiopia;43;2000;10.77747;10.77747;116;13456;64298000;692.9697661;5;5;10;-0.6;-0.62;101.5248375;676;456976;64298;4134.232804;1;0;1;0
43;Ethiopia;43;2003;21.92631;20.71357237;112;12544;68613470;1421.220341;5;5;10;-0.87;-1.09;91.58296191;676;456976;68613;4707.743769;0.9446903;0;0;1
44;Fiji;43;1995;58.24675;63.24852657;21;441;770000;48.70136546;3;4;7;-0.04;-0.51;2807.210914;4841;23435281;0.77;0.5929;1.0858722;1;0;0
44;Fiji;44;2000;35.86649;35.86649;18;324;811900;29.12358988;3;6;9;-0.34;-0.81;2035.689124;5056;25563136;812;0.659344;1;0;1;0
44;Fiji;44;2003;61.22156;57.83541388;16;256;835000;48.29257059;3;4;7;-0.22;-0.22;2537.188114;5446;29658916;835;0.697225;0.9446903;0;0;1
45;Gabon;44;1995;129.8197;140.9676032;60;3600;1109000;156.3330719;4;5;9;-0.99;-0.51;4854.238434;6431;41357761;1109;1.229881;1.0858722;1;0;0
45;Gabon;45;2000;9.348171;9.348171;60;3600;1258000;11.75999912;4;5;9;-0.59;-0.29;3920.335453;6127;37540129;1258;1.582564;1;0;1;0
46;Gambia, The;45;1995;41.8565;45.45080974;96;9216;1115000;50.67765286;6;7;13;-0.1;-1.28;371.9675186;1573;2474329;1115;1.243225;1.0858722;1;0;0
46;Gambia, The;45;2000;37.40854;37.40854;92;8464;1312000;49.08000448;5;7;12;0.17;-0.01;320.803811;1729;2989441;1312;1.721344;1;0;1;0
46;Gambia, The;46;2003;42.05097;39.72514346;90;8100;1420895;56.44942886;4;4;8;-0.66;-0.35;243.6294981;1752;3069504;1421;2.019241;0.9446903;0;0;1
47;Georgia;46;1995;41.60342;45.1759972;41;1681;5033000;227.3707939;5;4;9;-0.35;-0.84;581.1739903;1443;2082249;5033;25.331089;1.0858722;1;0;0
47;Georgia;46;2000;35.88348;35.88348;41;1681;4720000;169.3700256;4;4;8;-0.72;-0.56;644.8014831;1990;3960100;4.72;22.2784;1;0;1;0
47;Georgia;47;2003;48.11953;45.45805323;41;1681;4568000;207.6523872;4;4;8;-0.78;-0.72;826.4472535;2519;6345361;4568;20.866624;0.9446903;0;0;1
48;Ghana;47;1995;37.16733;40.3589704;69;4761;17510000;706.6855717;4;4;8;-0.07;-0.14;400.4544118;1736;3013696;17.51;306.6001;1.0858722;1;0;0
48;Ghana;47;2000;30.64513;30.64513;62;3844;19593000;600.4300321;3;2;5;0.09;0.11;254.0492012;1934;3740356;19593;383.885649;1;0;1;0
48;Ghana;48;2003;43.86611;41.43988862;59;3481;20669260;856.5210579;2;2;4;-0.08;-0.25;348.4647145;2084;4343056;20669;427.207561;0.9446903;0;0;1
49;Grenada;48;1995;110.7143;120.2215805;26;676;98000;11.78171489;2;1;3;-0.48;-0.14;3061.453787;5497;30217009;98;0.009604;1.0858722;1;0;0
49;Grenada;48;2000;162.8205;162.8205;21;441;101400;16.4448705;2;1;3;0.03;0.28;4047.337278;7536;56791296;101;0.010201;1;0;1;0
49;Grenada;49;2003;111.9503;105.7583625;18;324;104600;11.10462806;2;1;3;0.23;0.39;3950.358864;7575;57380625;105;0.011025;0.9446903;0;0;1
50;Guatemala;49;1995;21.03348;22.8396712;49;2401;9976000;227.8485599;5;4;9;-0.56;0.03;1595.300391;3687;13593969;9976;99.520576;1.0858722;1;0;0
50;Guatemala;49;2000;23.15618;23.15618;39;1521;11385300;263.6331093;4;3;7;-0.5;0.46;1694.34007;3918;15350724;11385;129.618225;1;0;1;0
50;Guatemala;50;2003;20.07217;18.9619843;35;1225;12307090;233.3651408;4;4;8;-0.72;-0.07;1898.260179;3882;15069924;12307;151.462249;0.9446903;0;0;1
51;Guinea;50;1995;63.24837;68.67964668;129;16641;6591000;452.6675513;5;6;11;-1.21;0.01;608.2849796;1796;3225616;6591;43.441281;1.0858722;1;0;0
51;Guinea;50;2000;20.6325;20.6325;112;12544;7415000;152.9899875;5;6;11;-0.07;-0.09;419.7386379;1962;3849444;7415;54.982225;1;0;1;0
51;Guinea;51;2003;30.03197;28.37091075;104;10816;7908905;224.3855331;5;6;11;-0.84;-0.84;433.6413482;1981;3924361;7909;62.552281;0.9446903;0;0;1
52;Guinea-Bissau;51;1995;99.58823;108.1400904;143;20449;1190000;128.6867076;4;3;7;-0.87;-0.06;231.7383587;921;848241;1.19;1.4161;1.0858722;1;0;0
52;Guinea-Bissau;51;2000;58.82956;58.82956;132;17424;1367000;80.42000852;5;4;9;-1.43;-1.09;157.6119239;783;613089;1367;1.868689;1;0;1;0
52;Guinea-Bissau;52;2003;97.50145;92.10867405;126;15876;1489209;137.1498157;4;6;10;-1.32;-0.9;151.3856422;662;438244;1489;2.217121;0.9446903;0;0;1
53;Guyana;52;1995;115.7874;125.7303188;61;3721;743000;93.41762687;2;2;4;-0.28;0.22;908.488911;3628;13162384;743;0.552049;1.0858722;1;0;0
53;Guyana;52;2000;141.3175;141.3175;55;3025;759000;107.2599825;2;2;4;-0.16;-0.04;938.5096179;3999;15992001;759;0.576081;1;0;1;0
53;Guyana;53;2003;112.6562;106.4252194;52;2704;768888;81.84099372;2;2;4;-0.25;-0.25;910.9519575;4031;16248961;769;0.591361;0.9446903;0;0;1
54;Haiti;53;1995;101.2681;109.9642145;91;8281;7168000;788.2234895;5;5;10;-1.42;-1.23;459.7582592;1723;2968729;7168;51.380224;1.0858722;1;0;0
54;Haiti;53;2000;26.1754;26.1754;81;6561;7959000;208.3300086;5;6;11;-1.47;-1.15;496.7700716;1764;3111696;7959;63.345681;1;0;1;0
54;Haiti;54;2003;23.66999;22.36080995;76;5776;8439799;188.725236;6;6;12;-1.73;-1.02;326.7553375;1653;2732409;8.44;71.2336;0.9446903;0;0;1
55;Honduras;54;1995;71.95706;78.13617105;37;1369;5636000;440.37546;3;3;6;-0.98;-0.29;762.999777;2572;6615184;5636;31.764496;1.0858722;1;0;0
55;Honduras;54;2000;69.68562;69.68562;33;1089;6457000;449.9600483;3;3;6;-0.45;0.32;923.4564039;2500;6250000;6457;41.692849;1;0;1;0
55;Honduras;55;2003;55.82827;52.74042513;32;1024;6968512;367.5480227;3;3;6;-0.71;-0.34;931.0665025;2559;6548481;6969;48.566961;0.9446903;0;0;1
