salary;totcomp;tenure;age;sales;profits;assets
5764;589101;15;57;22976.0;1850.0;41378.0
2000;4082;3;54;22348.0;1993.0;22660.0
3420;12785;15;57;21543.0;2891.0;237363.0
4869;15133;11;55;21437.0;1292.0;114612.0
973;1494;0;60;20977.0;1513.0;25128.0
2250;2627;2;46;20857.3;154.9;5607.5
1380;1419;0;46;20713.0;464.8;70906.4
1359;2538;2;62;20604.1;848.1;105148.1
3925;4887;6;55;20482.0;1950.0;202475.0
3729;9492;0;54;20019.0;395.0;30024.0
2747;21739;24;62;20011.0;-523.0;10989.0
1631;2159;2;56;19942.0;719.0;33234.0
3100;3108;6;53;19894.0;736.0;154000.0
1264;1603;7;51;19866.7;233.7;8885.3
2350;2636;0;52;19530.0;864.0;27939.0
1713;3945;3;60;19500.0;213.0;27080.0
1773;5502;1;52;19205.0;1314.0;22303.0
3419;8681;6;60;19132.0;2141.0;126933.0
2750;40590;2;52;18813.0;3533.0;19145.0
1583;1733;4;60;18441.0;1310.0;23830.0
1875;12357;4;52;18425.0;963.0;261067.0
3194;34753;5;65;18283.6;3141.2;16272.5
2788;2856;15;34;18243.0;1460.0;6877.0
2925;5278;12;57;18048.0;1700.0;321421.0
8050;8109;14;57;17678.0;-2669.0;80193.0
1701;2769;2;53;17610.0;1252.0;26806.0
1423;2905;5;63;17561.0;821.0;18559.0
1000;1000;4;61;17487.3;499.5;13925.8
1300;20597;8;51;17355.0;-166.0;9701.0
2338;3601;4;58;17353.1;-14.7;11112.0
2083;4096;18;60;17201.4;230.8;4093.0
3019;5940;5;51;17154.0;3606.0;30299.0
1851;24623;14;59;17134.3;414.5;33231.1
2750;4925;3;53;17037.0;-577.0;28892.0
3000;3000;0;51;16891.0;743.4;11526.1
2128;2137;2;55;16108.6;403.6;13833.5
1656;3796;8;58;16005.1;567.2;6234.0
1524;4021;28;53;15918.1;247.1;3961.1
1803;17914;28;54;15872.8;503.0;9686.1
1877;5249;2;55;15833.0;662.0;13464.0
2450;6407;12;63;15489.4;853.0;17462.5
1422;2104;4;62;15327.5;296.8;3780.2
1314;6737;1;57;15307.0;511.0;4902.0
2003;2316;1;46;15273.6;396.4;6736.2
6000;14699;8;64;15128.0;1331.0;15560.0
750;1056;0;44;15069.3;-510.6;3491.0
1782;7192;2;51;15022.0;1015.0;150632.0
1717;9276;8;62;15021.0;1175.0;14153.0
1660;3053;8;55;14878.8;-162.8;10151.2
1169;1345;4;61;14736.0;740.0;39514.0
3959;38221;8;62;14704.0;3351.0;18302.0
8800;15145;7;60;14582.0;168.0;31640.0
542;542;18;43;14484.0;4490.0;22357.0
1356;1379;14;49;14258.0;108.4;5260.0
1571;2077;2;56;14138.0;1001.0;14603.0
100;100;29;68;13832.0;2830.0;122237.0
2530;4858;10;64;13821.5;1021.4;18001.5
1287;1345;2;52;13720.0;3.1;3003.2
600;641;17;53;13617.5;198.6;3068.7
1260;2076;1;61;13504.8;235.5;5019.2
2774;15205;12;61;13462.7;2474.3;21079.1
3400;15413;26;63;13447.2;1228.6;12659.8
1825;3161;1;66;13414.0;142.0;21132.0
1875;2468;1;49;13413.0;849.0;10553.0
3710;6951;5;58;13406.0;1390.0;14733.0
1450;2855;6;58;13223.0;98.0;11538.0
1720;2005;5;56;13195.0;452.0;25199.0
824;1060;6;62;13105.0;1195.7;104624.4
5568;5786;19;66;12848.6;190.0;3008.1
1247;2373;0;57;12838.7;534.1;10137.5
1638;5075;9;49;12745.6;1486.9;165493.3
3062;3067;5;52;12703.5;-770.7;22715.2
1571;2878;3;60;12648.7;682.3;10589.3
1782;2670;11;58;12586.8;337.7;7942.1
721;1449;14;45;12563.4;132.2;5991.5
1670;5193;0;44;12477.8;2333.2;13216.2
2166;5874;1;56;12421.4;1550.1;19784.0
1366;2057;4;47;12378.0;1508.0;18407.0
1317;6698;7;51;12297.8;1165.8;11510.3
986;1409;3;55;12244.9;482.4;6344.7
900;7541;3;57;12048.0;-73.0;133115.0
5063;5372;9;57;12021.5;106.2;5842.8
2848;5043;10;61;11886.0;477.0;7169.0
1516;2410;5;62;11845.0;237.0;14216.0
1863;4204;1;52;11549.0;608.0;13721.0
1553;1561;13;43;11529.0;129.0;3842.1
1745;1829;0;48;11494.8;785.6;22848.0
3088;5573;22;67;11488.5;-141.1;19138.5
1117;1616;4;58;11403.0;977.0;36192.0
1898;1900;4;45;11375.1;316.4;7655.3
2858;10143;24;61;11245.8;1233.3;12484.3
981;5028;1;51;11200.0;-132.0;7899.0
1711;1717;1;56;10766.0;294.0;12834.0
800;2317;2;57;10553.0;-633.0;29374.0
2400;3688;12;57;10323.0;325.0;7935.0
3201;4568;3;58;10251.0;764.0;105107.0
1879;27455;0;53;10213.7;1254.0;9230.6
1860;2886;9;55;10208.0;668.0;24698.0
1245;1327;0;61;10056.0;1081.0;11902.0
2675;11842;1;50;10051.3;2097.9;12595.5
4392;7993;17;59;10002.0;1532.0;104382.0
1100;4212;10;59;9898.0;537.0;20427.0
2718;2874;6;55;9895.0;261.0;12833.0
1698;48018;15;44;9790.8;762.9;5711.1
1498;2346;1;43;9781.0;129.0;5217.0
1104;1679;35;61;9553.1;399.6;5397.4
2054;5191;6;51;9521.5;202.4;4630.9
2565;3073;36;61;9346.9;2053.6;4549.7
2140;9780;1;50;9209.3;801.6;8023.4
856;1548;9;62;9108.4;89.3;38322.7
4000;201939;0;55;9061.0;-21.0;20139.0
1229;1573;11;59;9059.4;115.5;5677.3
7312;84446;4;54;9054.5;824.5;3963.9
500;17360;9;56;9044.8;-285.5;10280.8
3034;3249;11;53;8997.7;233.2;4113.0
3456;60297;15;60;8971.6;848.6;7685.2
566;6184;12;57;8941.0;1155.0;22690.0
900;956;9;61;8902.0;214.0;9564.0
500;501;1;45;8896.1;-165.2;3929.5
2180;11902;13;52;8870.8;104.3;3231.7
2097;2100;23;71;8814.3;75.7;2381.1
3188;3422;5;51;8707.6;524.1;52892.7
1134;7996;0;46;8688.0;538.0;7870.0
1600;22881;4;60;8648.0;-250.0;16724.0
821;908;2;52;8575.4;50.5;1552.3
750;763;6;40;8545.8;45.7;3572.1
3600;3840;2;73;8468.0;445.0;4531.0
2478;2652;3;46;8460.0;407.0;11250.0
891;892;4;49;8458.8;1350.1;8916.7
2029;9942;6;58;8426.7;572.0;7170.4
2527;7834;9;59;8374.0;624.0;6435.0
1587;7018;33;58;8358.2;94.5;2056.3
1088;1150;0;56;8346.5;-78.1;5315.0
1025;1346;13;57;8344.7;145.8;3839.9
1576;1578;10;58;8300.0;105.1;12469.0
2458;3644;6;63;8291.5;509.1;8309.5
2748;29139;3;57;8077.0;1756.0;7840.0
1393;6528;4;53;8070.8;1070.7;88245.6
775;797;2;59;8025.0;-427.0;7170.0
1860;2034;60;84;8012.0;135.0;8178.0
10372;27176;6;65;7979.9;660.4;154495.9
1951;5592;26;67;7968.0;390.0;6233.0
2147;2149;5;57;7951.0;383.0;7086.0
3374;4939;10;59;7949.1;424.2;2747.8
3515;18407;14;62;7936.0;1115.0;77207.0
1561;1809;2;45;7894.8;416.8;6794.8
1617;1871;4;61;7885.0;299.0;6178.0
15250;124579;20;53;7716.0;588.1;43599.9
2340;22533;9;60;7664.0;1327.4;76438.0
975;15458;5;57;7658.3;127.5;18647.3
1294;6053;32;58;7623.1;19.1;1294.4
2769;9343;4;56;7609.0;792.0;73513.0
1570;1972;5;63;7605.0;255.0;8791.0
2294;3038;3;54;7523.1;1532.5;5024.0
1735;3052;2;52;7510.0;801.0;7837.0
1894;5185;2;50;7505.0;660.0;5633.0
1800;1800;14;36;7467.9;346.4;2890.4
850;908;3;70;7417.3;-231.8;1966.7
531;568;1;49;7414.1;25.1;5242.5
942;2222;1;53;7392.1;971.0;93169.9
3300;7467;2;60;7351.0;1943.0;41851.0
2345;5621;4;51;7301.1;497.6;7792.3
8088;8897;19;64;7249.6;433.6;54175.9
3000;7418;2;59;7208.4;387.0;5577.7
2700;3271;7;65;7190.0;796.0;11871.0
1500;4786;1;53;7151.3;510.2;25707.1
1530;1530;22;54;7143.9;813.7;5819.0
1123;1180;4;54;7125.2;444.4;12304.1
1320;66485;13;50;7123.2;185.4;3179.3
1990;16632;9;47;7104.2;486.8;31183.4
2068;5065;4;55;7100.0;996.0;80020.0
1460;1504;9;57;7093.0;729.7;14381.4
1752;2471;8;61;7024.0;280.0;4849.0
1000;1000;1;50;7003.6;-1260.5;1181.8
1919;2663;3;56;6933.0;203.0;6082.0
2226;15576;2;53;6893.0;691.0;10312.0
618;638;1;42;6819.0;-530.0;5645.0
2158;2183;38;65;6805.9;145.1;1944.7
528;1370;0;45;6762.1;502.6;5051.5
727;4921;1;47;6704.0;122.0;1341.0
2000;4029;10;63;6661.0;664.0;12029.0
2700;3705;10;64;6653.9;-16.3;4107.8
1921;3973;4;63;6625.0;349.0;5665.0
1300;1308;4;45;6617.5;-458.9;7883.0
1379;1381;9;60;6614.0;355.8;3600.4
1803;2184;4;54;6600.8;260.4;4046.8
1304;1639;0;44;6599.0;315.0;10085.0
1200;5107;8;64;6596.0;363.0;15252.0
2128;2623;13;53;6572.9;231.3;4225.8
1083;1570;4;46;6568.2;269.2;6968.7
1658;2260;4;47;6505.0;122.0;4892.0
2978;3614;17;62;6492.9;540.5;19688.0
882;1571;7;57;6452.1;351.9;30891.7
2419;6537;8;56;6428.6;707.0;58502.6
1775;2893;11;56;6349.8;707.0;20746.0
974;1425;6;57;6345.9;536.2;19483.2
800;3271;3;51;6311.9;-297.4;7810.8
1121;1855;5;64;6266.0;-21.0;4542.0
2243;3449;10;47;6219.9;-0.9;5189.0
1543;1643;5;55;6162.1;-37.0;4966.7
2011;6675;5;58;6149.0;64.0;8726.0
4280;4349;1;46;6087.1;509.8;93836.3
1389;2882;9;63;6086.2;535.6;17517.0
1616;5692;4;53;6033.0;421.8;3861.4
1383;1568;13;57;5931.0;644.0;17997.0
1248;1439;1;46;5916.3;151.4;2733.7
1731;2719;5;57;5913.8;874.2;64122.8
1700;5644;2;55;5899.9;294.6;3787.8
1429;1615;3;51;5876.3;261.0;10298.8
589;914;0;52;5861.3;410.9;18063.5
1330;1485;3;60;5859.0;66.0;6134.0
2818;63959;9;58;5832.0;539.6;20216.5
1729;7059;0;56;5814.0;870.0;50777.0
971;7274;4;40;5805.2;170.8;2438.4
2550;10317;2;53;5793.0;1192.0;63579.0
1600;3148;9;53;5782.0;225.0;10069.0
2202;3082;4;46;5698.0;-136.0;2876.0
1569;2375;4;63;5659.0;403.0;7291.0
1323;2081;3;61;5653.0;75.3;8839.9
1478;3057;4;57;5647.9;672.8;6118.2
450;682;1;64;5628.7;-83.0;5748.8
870;10109;36;79;5590.5;972.1;14817.4
1238;1540;2;51;5577.0;1105.7;5551.7
1134;1896;25;62;5539.3;-47.3;2725.7
1350;2423;10;55;5528.7;-95.5;4800.0
1749;3438;1;63;5525.0;294.0;10456.0
686;991;12;56;5520.0;-8.3;1315.1
1155;2783;10;50;5506.9;-47.0;1817.8
1191;1869;8;61;5482.0;440.0;13744.0
2297;6154;3;52;5478.8;388.3;3836.7
989;1242;9;68;5449.9;108.0;11060.7
818;7313;9;43;5420.4;30.2;4080.5
1085;1872;5;62;5379.0;130.0;7952.0
2458;2709;34;65;5292.4;456.7;8463.1
1033;3878;7;59;5288.3;198.8;2410.6
960;9518;5;48;5286.0;31.5;1160.5
1798;1812;1;53;5212.7;270.0;2433.5
1293;1297;4;59;5210.5;512.7;12048.4
1500;1500;8;66;5195.1;776.3;25806.3
1430;5270;12;61;5194.0;580.3;9374.2
1175;1795;16;56;5188.7;159.1;5708.6
1952;5750;11;62;5181.0;725.0;17553.0
1565;3873;14;54;5141.0;285.0;11310.0
2400;6033;13;60;5121.3;999.9;6979.5
800;3434;10;55;5117.6;465.7;16587.0
1173;6476;4;58;5100.6;423.0;3779.1
1295;2040;4;46;5027.9;206.7;3115.4
2850;3605;7;64;5009.0;-705.0;5101.0
2100;8611;2;56;4970.0;364.0;4572.0
942;1539;1;50;4941.5;139.0;2689.4
1702;2479;20;64;4934.4;272.9;4065.5
1815;4325;7;63;4933.8;546.8;7489.6
1675;5258;5;56;4876.7;378.8;3627.3
2352;5143;2;57;4842.5;284.5;2510.3
950;1861;7;63;4833.0;425.0;8096.0
1038;4771;3;56;4798.1;605.3;5175.4
2003;6435;4;64;4797.2;263.1;7359.7
1220;1613;0;50;4787.9;61.3;1993.6
1546;10799;2;47;4781.9;332.3;4262.2
800;880;4;50;4745.7;338.8;4999.5
1045;1515;5;65;4724.1;190.0;2914.9
700;3272;1;51;4719.4;-624.5;1637.8
7000;20833;23;54;4719.0;1169.0;6706.0
1714;2683;6;63;4633.0;319.6;3524.8
1866;2166;12;56;4630.8;363.4;15182.9
725;730;5;54;4597.0;-31.5;3495.0
1325;1653;2;52;4579.2;119.7;5142.2
2967;36549;13;55;4559.9;-754.8;3852.5
884;886;3;56;4553.0;18.5;945.3
863;1049;5;65;4502.9;19.3;5176.4
1266;1948;10;61;4481.0;249.0;5876.0
1179;1248;7;64;4477.8;120.1;5621.5
322;341;1;48;4474.6;-73.3;2467.6
3414;3525;3;57;4468.7;53.7;9940.1
1095;2556;5;60;4435.6;340.9;3404.1
1787;4878;7;58;4428.0;734.0;18180.0
800;1085;14;76;4424.2;12.1;2915.1
1057;3639;1;58;4399.9;181.4;4049.8
623;2749;5;56;4387.8;60.0;9612.2
1242;1772;8;61;4378.4;106.5;4166.4
1358;2414;4;56;4341.3;238.5;2103.9
1663;1663;11;54;4337.8;48.6;2231.9
1992;5234;3;50;4334.4;576.4;7661.0
1308;2266;11;59;4287.2;141.3;2056.7
643;859;1;57;4273.0;-27.0;5324.0
724;1089;17;52;4258.4;42.6;1103.5
988;1240;2;58;4248.8;360.1;16288.1
1628;1991;2;75;4235.3;141.6;4449.1
1871;14988;7;59;4234.0;436.0;47082.0
869;962;1;49;4221.0;443.0;12088.0
935;1006;9;53;4193.7;96.8;2042.5
2615;3339;15;63;4174.6;187.1;2866.3
567;4704;18;68;4164.0;433.4;4716.0
297;497;1;45;4160.0;-61.6;825.1
721;1004;3;52;4151.2;263.7;3226.5
2125;5179;3;73;4129.7;19.6;1129.1
588;606;0;45;4092.7;550.9;1343.9
1164;1683;32;65;4092.3;84.7;964.2
3425;4166;2;46;4092.0;285.1;6890.0
1770;5647;7;64;4069.3;280.6;2587.7
998;1051;3;56;4064.0;297.0;3944.0
1665;1928;12;80;4050.0;124.4;15845.2
1012;1019;22;60;4041.7;230.9;4929.7
2778;2850;15;46;4006.1;46.6;6773.0
1775;1832;11;53;3975.5;144.8;3416.2
1762;19869;7;56;3973.7;793.4;4568.6
2495;7421;19;64;3968.7;309.9;6942.8
1284;3268;2;60;3950.8;226.5;4192.6
3206;5558;4;60;3945.2;186.3;3351.5
1462;5251;4;60;3939.1;133.0;3784.0
1715;2566;2;68;3923.4;241.2;3175.5
1789;15493;6;50;3904.0;254.0;23088.1
885;892;43;72;3867.6;181.9;6331.6
2309;2474;24;59;3867.4;53.4;1083.6
787;1087;1;62;3836.1;51.3;6900.0
875;1480;2;61;3836.0;147.0;2086.0
711;1481;6;57;3826.4;-120.8;13861.2
1000;1000;0;53;3794.0;-200.0;11631.0
913;919;6;56;3786.0;-569.0;9607.0
501;873;18;61;3776.5;41.9;2860.0
1649;1806;2;52;3767.7;-146.8;10387.4
927;968;15;64;3740.1;64.5;15990.0
1472;3903;1;50;3729.1;333.1;3788.1
1604;1620;1;63;3720.0;396.2;4327.9
2344;5180;11;63;3720.0;440.0;3648.0
1238;4433;15;64;3709.8;-530.5;4361.1
525;543;0;47;3700.3;89.0;4687.7
1147;1340;3;60;3688.9;394.0;4981.9
900;1900;1;55;3684.0;78.1;3253.6
700;748;0;49;3681.8;192.3;1936.1
1245;2326;2;57;3620.3;281.7;6160.8
5617;6447;17;66;3618.0;236.8;2512.8
969;1050;9;60;3610.9;342.0;7672.0
772;836;2;45;3604.3;67.2;2541.4
690;1556;12;60;3553.0;238.8;6361.9
796;1150;2;52;3552.2;62.5;907.6
2500;2593;37;67;3542.2;20.6;2261.4
746;1199;6;57;3541.5;-290.2;1442.7
1145;1150;0;52;3522.6;248.0;50424.2
1800;11996;6;54;3501.6;430.1;38475.8
1451;2256;2;63;3483.2;-9.0;6674.2
1458;7825;1;58;3459.9;223.3;2142.6
1410;1675;10;56;3432.5;201.2;27607.9
6945;38936;21;61;3388.1;348.5;22264.0
1322;2996;39;70;3370.4;248.0;2535.3
8450;9918;38;59;3369.1;326.4;12775.3
750;11447;7;57;3362.0;-44.0;2812.0
817;889;6;60;3358.1;327.7;9195.0
1210;1311;14;65;3347.9;108.5;2566.7
407;427;0;45;3327.3;-10.4;1779.4
670;778;7;54;3323.6;94.6;1284.5
1338;4199;11;41;3320.9;131.6;3021.3
748;802;5;60;3318.2;386.5;8847.4
1437;3269;10;50;3304.5;206.4;3793.8
2925;3509;4;57;3291.5;1417.3;4218.3
1648;1860;8;62;3289.2;136.5;2106.5
1048;1872;4;58;3287.0;101.7;1984.7
1520;2951;12;61;3269.1;106.3;1607.2
511;587;22;60;3266.9;63.4;1025.1
1920;3328;10;63;3265.8;127.9;1550.0
3300;3514;4;44;3265.1;-286.6;7061.1
1325;1352;6;55;3261.0;139.3;1555.9
647;673;2;54;3259.1;-120.5;2554.6
650;1006;0;34;3243.0;153.0;7063.0
774;777;2;51;3242.9;227.9;2748.1
900;905;9;55;3234.6;-299.8;3597.8
1000;1056;20;55;3224.6;23.9;1740.0
1199;8675;22;59;3221.0;182.0;1211.8
1950;4441;10;61;3219.9;607.1;36600.8
1002;1103;2;46;3203.7;54.7;908.9
1087;1093;10;52;3142.1;-62.5;3098.5
1100;1390;3;60;3130.0;399.2;8347.4
1163;1288;3;48;3130.0;332.0;2357.0
1747;8866;5;64;3116.9;236.6;3846.0
709;709;3;58;3112.1;-28.7;1105.7
1990;3286;1;45;3100.6;-459.6;2964.7
1075;17811;36;68;3100.2;434.6;38468.7
1225;3973;4;58;3099.6;365.9;4257.1
621;701;15;58;3082.1;20.1;717.8
1121;2023;15;61;3074.5;137.3;1501.6
856;2280;1;58;3072.5;421.7;36831.9
600;1184;7;56;3071.6;153.2;6087.7
1325;1345;2;53;3064.6;501.5;37210.0
1240;1528;10;63;3063.4;190.9;5036.5
1115;1139;2;52;3059.2;58.0;1167.0
910;4845;1;65;3050.6;108.5;1129.5
633;633;2;62;3045.3;-9.4;1147.0
2600;3001;1;54;3025.8;247.8;54812.3
1595;1601;1;46;3020.6;243.0;1483.4
663;1663;5;39;3011.9;-233.7;4688.3
1227;3004;10;50;3009.2;501.8;34427.2
1440;1440;34;58;3005.6;92.4;1807.6
1381;1997;8;60;2993.8;55.6;1373.5
1697;10485;4;61;2980.9;414.3;5935.6
4002;26745;13;55;2972.6;-68.0;5381.2
2698;3413;18;62;2943.3;368.6;38133.8
484;1492;0;53;2941.4;60.6;2750.4
1073;1090;2;51;2936.7;278.9;3465.1
1866;4311;10;59;2934.0;375.0;35800.2
906;2627;6;59;2932.8;193.9;4986.5
2300;2387;9;57;2910.0;182.9;2738.7
875;1151;7;50;2904.7;132.0;5008.7
1758;2444;5;62;2896.4;16.6;2854.8
