obs;y;x
1998/12;17.13842;4.986705
1999/01;-1.468449;2.493728
1999/02;8.5036;0.937105
1999/03;10.89431;4.280083
1999/04;13.03497;3.960824
1999/05;-5.654672;-4.499198
1999/06;8.321969;3.656746
1999/07;0.507652;-2.503972
1999/08;-5.022981;-0.121902
1999/09;-2.305449;-5.388032
1999/10;-1.876879;4.01099
1999/11;1.348825;6.265313
1999/12;-2.641649;4.045659
